ID,i,ii
ISIC_0013238,2,0.6740580261445805
ISIC_0008116,2,0.433735761544233
ISIC_0014543,2,0.3938841847375276
ISIC_0014628,2,0.4597667998327447
ISIC_0009945,2,0.7762606747410462
ISIC_0012363,2,0.47743146835800593
ISIC_0000505,2,0.6271539853647021
ISIC_0014615,2,0.44403173738866636
ISIC_0011298,2,0.5665191800838488
ISIC_0000501,2,0.8075228173110676
ISIC_0013832,2,0.809694313894644
ISIC_0013167,2,0.4899809935761802
ISIC_0011155,2,0.7641972963287582
ISIC_0000415,2,0.7554365779702908
ISIC_0012681,2,0.8185906410419583
ISIC_0000419,2,0.5841977878239616
ISIC_0000313,2,0.7533330041477385
ISIC_0000045,2,0.7763899018678955
ISIC_0013184,2,0.7349984806550429
ISIC_0014072,2,0.8159143451780753
ISIC_0014473,2,0.7954860210856272
ISIC_0000508,2,0.7580576627466663
ISIC_0010024,2,0.8211644715342115
ISIC_0014535,2,0.7945068597899956
ISIC_0000374,2,0.8132747039678693
ISIC_0000148,2,0.6806248097093361
ISIC_0000104,1,0.9043351701899514
ISIC_0012749,2,0.8894344045198899
ISIC_0000301,0,0.953574983730261
ISIC_0011112,2,0.8842803262453045
ISIC_0012224,2,0.49610262374871755
ISIC_0011363,2,0.7962813139357428
ISIC_0012299,1,0.8897488783135852
ISIC_0009925,2,0.8875952854969229
ISIC_0011352,2,0.7209798755713561
ISIC_0009875,2,0.6506683146208458
ISIC_0002885,2,0.3897191377341325
ISIC_0010174,2,0.6951746176988451
ISIC_0014576,2,0.6137698551493734
ISIC_0011090,2,0.7999139327809243
ISIC_0010092,2,0.8722062004325883
ISIC_0010374,2,0.7935309114085405
ISIC_0009533,2,0.5002121718322745
ISIC_0013385,2,0.6929135089437066
ISIC_0013052,2,0.8018299683578489
ISIC_0013032,2,0.6107275218831705
ISIC_0013935,2,0.474155648609142
ISIC_0000513,2,0.7671536531300525
ISIC_0000443,2,0.7323173205788691
ISIC_0010100,2,0.7410701764160059
ISIC_0012659,1,0.7761904761904762
ISIC_0009078,2,0.48032975966315317
ISIC_0010057,2,0.855960049909384
ISIC_0000455,2,0.6928996528916584
ISIC_0008785,2,0.49977473654653315
ISIC_0010553,2,0.777911960408231
ISIC_0000471,2,0.8881130727812168
ISIC_0000208,0,0.9222823389951825
ISIC_0013981,2,0.40342541232668905
ISIC_0012713,2,0.6977448722506454
ISIC_0008406,2,0.36582977578122094
ISIC_0003174,2,0.5488680347169155
ISIC_0013845,2,0.5534742347076731
ISIC_0000133,2,0.5982122104784713
ISIC_0013126,2,0.423952145294741
ISIC_0014522,2,0.3564896758940258
ISIC_0013876,2,0.5306001200160552
ISIC_0000149,2,0.7399974889182558
ISIC_0008993,2,0.5494307139539073
ISIC_0012529,1,0.7233225059916633
ISIC_0013499,2,0.7934386742334196
ISIC_0013721,2,0.6830072679165027
ISIC_0010019,2,0.7456997992873848
ISIC_0013554,2,0.23521814832935217
ISIC_0012433,2,0.6497986393699462
ISIC_0010088,2,0.7797870632924937
ISIC_0000297,2,0.5796390809803341
ISIC_0013244,2,0.6864990844015315
ISIC_0000525,1,0.883179116144631
ISIC_0008600,2,0.4533979215964349
ISIC_0013816,2,0.6627833321872296
ISIC_0010476,2,0.8541710299862498
ISIC_0011214,2,0.7492692831017407
ISIC_0012228,2,0.561218862152624
ISIC_0010862,2,0.5849107430305978
ISIC_0012742,2,0.3793846663982378
ISIC_0013486,2,0.7777530448055459
ISIC_0010013,2,0.6481548391335052
ISIC_0000448,2,0.6845076896724436
ISIC_0013383,2,0.40562529165822137
ISIC_0014516,2,0.6966525245932211
ISIC_0011211,2,0.7873218867266867
ISIC_0012793,2,0.7037502024947351
ISIC_0010176,2,0.6125759017733872
ISIC_0010371,2,0.7963315406246325
ISIC_0002948,2,0.7376594728339336
ISIC_0000243,2,0.8273596880950222
ISIC_0000277,2,0.7889021552710458
ISIC_0000540,1,0.8936074986253373
ISIC_0011082,2,0.656084992684013
ISIC_0001133,2,0.8827265217457816
ISIC_0000445,2,0.7001522264218351
ISIC_0010332,2,0.7325211688723992
ISIC_0012167,2,0.6397458650623997
ISIC_0014843,2,0.7566924142936993
ISIC_0010857,0,0.9147704145350934
ISIC_0014080,2,0.7120107881418054
ISIC_0013378,2,0.3503356600100668
ISIC_0013929,2,0.682070344829621
ISIC_0010847,2,0.79971337263683
ISIC_0011199,2,0.4562051971326165
ISIC_0000025,2,0.7899898318473264
ISIC_0013012,2,0.7304227932839273
ISIC_0010053,2,0.7656919351834606
ISIC_0014592,2,0.4860805736900856
ISIC_0000139,2,0.8438797112804014
ISIC_0012855,2,0.5427730892890124
ISIC_0000120,2,0.8460136826484931
ISIC_0000004,2,0.7605010990273966
ISIC_0013480,2,0.3627329772615082
ISIC_0010364,2,0.6710390102259816
ISIC_0000366,2,0.41092153821468685
ISIC_0012887,2,0.48884447371807976
ISIC_0000166,2,0.8756334712227823
ISIC_0012840,1,0.9021897100108404
ISIC_0013707,0,0.9197558867598802
ISIC_0000352,2,0.8136214565741857
ISIC_0010853,2,0.6227872754814975
ISIC_0000521,2,0.8198253423160689
ISIC_0012348,2,0.6677011878022623
ISIC_0011121,0,0.9617005206135737
ISIC_0006711,2,0.3590873609843603
ISIC_0000371,2,0.817206058921724
ISIC_0014845,2,0.8230362836796248
ISIC_0014081,2,0.5531213093216489
ISIC_0011220,2,0.33656100159829516
ISIC_0013836,2,0.40780055922503233
ISIC_0011296,2,0.8232106033100093
ISIC_0010059,2,0.8048556602536483
ISIC_0000043,2,0.7416425612056841
ISIC_0013086,2,0.47328320746211344
ISIC_0012445,2,0.6479220957344671
ISIC_0014771,2,0.7262784356116337
ISIC_0013084,2,0.8342399208721709
ISIC_0010444,2,0.5615876272390121
ISIC_0000518,2,0.7977189216241489
ISIC_0000138,2,0.7433196527173874
