ID,i
ISIC_0000347_segmentation,12
ISIC_0011169_segmentation,3
ISIC_0000999_segmentation,55
ISIC_0005666_segmentation,3
ISIC_0013227_segmentation,24
ISIC_0000359_segmentation,6
ISIC_0000040_segmentation,50
ISIC_0014603_segmentation,77
ISIC_0002453_segmentation,54
ISIC_0001118_segmentation,7
ISIC_0013775_segmentation,30
ISIC_0011140_segmentation,17
ISIC_0000503_segmentation,33
ISIC_0000262_segmentation,15
ISIC_0000134_segmentation,3
ISIC_0009963_segmentation,19
ISIC_0000152_segmentation,80
ISIC_0012318_segmentation,12
ISIC_0009758_segmentation,4
ISIC_0013172_segmentation,28
ISIC_0010225_segmentation,21
ISIC_0000199_segmentation,18
ISIC_0014869_segmentation,49
ISIC_0014004_segmentation,42
ISIC_0008406_segmentation,33
ISIC_0013410_segmentation,20
ISIC_0010476_segmentation,32
ISIC_0010229_segmentation,15
ISIC_0014072_segmentation,17
ISIC_0009564_segmentation,28
ISIC_0013981_segmentation,3
ISIC_0014641_segmentation,6
ISIC_0008541_segmentation,46
ISIC_0011162_segmentation,27
ISIC_0013690_segmentation,4
ISIC_0000458_segmentation,4
ISIC_0014589_segmentation,31
ISIC_0014083_segmentation,15
ISIC_0000059_segmentation,8
ISIC_0013053_segmentation,13
ISIC_0000246_segmentation,48
ISIC_0014157_segmentation,33
ISIC_0000535_segmentation,14
ISIC_0013489_segmentation,39
ISIC_0011124_segmentation,30
ISIC_0002438_segmentation,42
ISIC_0012506_segmentation,8
ISIC_0010201_segmentation,6
ISIC_0014808_segmentation,63
ISIC_0000515_segmentation,6
ISIC_0010264_segmentation,5
ISIC_0012177_segmentation,19
ISIC_0011088_segmentation,3
ISIC_0013595_segmentation,41
ISIC_0006776_segmentation,3
ISIC_0010086_segmentation,31
ISIC_0008600_segmentation,42
ISIC_0013055_segmentation,9
ISIC_0007760_segmentation,3
ISIC_0013639_segmentation,29
ISIC_0014507_segmentation,43
ISIC_0012671_segmentation,119
ISIC_0005639_segmentation,3
ISIC_0011137_segmentation,38
ISIC_0011225_segmentation,15
ISIC_0014357_segmentation,35
ISIC_0000251_segmentation,4
ISIC_0012804_segmentation,4
ISIC_0004166_segmentation,6
ISIC_0000555_segmentation,24
ISIC_0013220_segmentation,41
ISIC_0002476_segmentation,47
ISIC_0010093_segmentation,6
ISIC_0014225_segmentation,90
ISIC_0000254_segmentation,5
ISIC_0010186_segmentation,5
ISIC_0000481_segmentation,4
ISIC_0000461_segmentation,38
ISIC_0015005_segmentation,18
ISIC_0000433_segmentation,8
ISIC_0000468_segmentation,54
ISIC_0013799_segmentation,50
ISIC_0010074_segmentation,3
ISIC_0010860_segmentation,32
ISIC_0000197_segmentation,43
ISIC_0013425_segmentation,31
ISIC_0013664_segmentation,115
ISIC_0010231_segmentation,4
ISIC_0001105_segmentation,18
ISIC_0014632_segmentation,8
ISIC_0012792_segmentation,50
ISIC_0012217_segmentation,44
ISIC_0014431_segmentation,17
ISIC_0015295_segmentation,102
ISIC_0003174_segmentation,3
ISIC_0013141_segmentation,3
ISIC_0013865_segmentation,34
ISIC_0012726_segmentation,9
ISIC_0014699_segmentation,5
ISIC_0010596_segmentation,5
ISIC_0012681_segmentation,19
ISIC_0013975_segmentation,9
ISIC_0000443_segmentation,10
ISIC_0010015_segmentation,31
ISIC_0000097_segmentation,60
ISIC_0000189_segmentation,4
ISIC_0010587_segmentation,23
ISIC_0000074_segmentation,6
ISIC_0000426_segmentation,18
ISIC_0000037_segmentation,64
ISIC_0010460_segmentation,3
ISIC_0013836_segmentation,8
ISIC_0014851_segmentation,38
ISIC_0014922_segmentation,65
ISIC_0009975_segmentation,5
ISIC_0009895_segmentation,5
ISIC_0014791_segmentation,80
ISIC_0013026_segmentation,13
ISIC_0012932_segmentation,7
ISIC_0011344_segmentation,3
ISIC_0009873_segmentation,36
ISIC_0015113_segmentation,62
ISIC_0010060_segmentation,3
ISIC_0000227_segmentation,14
ISIC_0000475_segmentation,5
ISIC_0012102_segmentation,27
ISIC_0013417_segmentation,12
ISIC_0000105_segmentation,56
ISIC_0000010_segmentation,15
ISIC_0012990_segmentation,7
ISIC_0002287_segmentation,4
ISIC_0014195_segmentation,25
ISIC_0013765_segmentation,4
ISIC_0014775_segmentation,18
ISIC_0011348_segmentation,3
ISIC_0015045_segmentation,76
ISIC_0012543_segmentation,3
ISIC_0000470_segmentation,29
ISIC_0000102_segmentation,5
ISIC_0000032_segmentation,6
ISIC_0012851_segmentation,27
ISIC_0013585_segmentation,72
ISIC_0013748_segmentation,40
ISIC_0000034_segmentation,48
ISIC_0013837_segmentation,4
ISIC_0000207_segmentation,6
ISIC_0014913_segmentation,62
ISIC_0010586_segmentation,19
ISIC_0013187_segmentation,26
ISIC_0008807_segmentation,26
ISIC_0000223_segmentation,46
ISIC_0013958_segmentation,5
ISIC_0012719_segmentation,38
ISIC_0012495_segmentation,27
ISIC_0000093_segmentation,27
ISIC_0010057_segmentation,7
ISIC_0013213_segmentation,37
ISIC_0000062_segmentation,28
ISIC_0010330_segmentation,32
ISIC_0013461_segmentation,10
ISIC_0014609_segmentation,58
ISIC_0010487_segmentation,37
ISIC_0000025_segmentation,51
ISIC_0013219_segmentation,21
ISIC_0012214_segmentation,6
ISIC_0000068_segmentation,22
ISIC_0000348_segmentation,8
ISIC_0000507_segmentation,28
ISIC_0009938_segmentation,3
ISIC_0000379_segmentation,8
ISIC_0014026_segmentation,31
ISIC_0010372_segmentation,31
ISIC_0000485_segmentation,19
ISIC_0000396_segmentation,5
ISIC_0013383_segmentation,9
ISIC_0014062_segmentation,39
ISIC_0013054_segmentation,10
ISIC_0010565_segmentation,3
ISIC_0010592_segmentation,7
ISIC_0014795_segmentation,51
ISIC_0000510_segmentation,36
ISIC_0013886_segmentation,73
ISIC_0013927_segmentation,54
ISIC_0013674_segmentation,8
ISIC_0000126_segmentation,5
ISIC_0012737_segmentation,24
ISIC_0000202_segmentation,5
ISIC_0010069_segmentation,16
ISIC_0010494_segmentation,3
ISIC_0014685_segmentation,22
ISIC_0008347_segmentation,5
ISIC_0000514_segmentation,16
ISIC_0014299_segmentation,3
ISIC_0010066_segmentation,44
ISIC_0010862_segmentation,3
ISIC_0000366_segmentation,19
ISIC_0012854_segmentation,5
ISIC_0010567_segmentation,19
ISIC_0007038_segmentation,6
ISIC_0009899_segmentation,3
ISIC_0010498_segmentation,3
ISIC_0013792_segmentation,19
ISIC_0012901_segmentation,33
ISIC_0000141_segmentation,7
