ID,i
ISIC_0013238,5
ISIC_0008116,4
ISIC_0014543,4
ISIC_0014628,3
ISIC_0009945,5
ISIC_0012363,4
ISIC_0000505,5
ISIC_0014615,3
ISIC_0011298,5
ISIC_0000501,5
ISIC_0013832,2
ISIC_0013167,5
ISIC_0011155,6
ISIC_0000415,4
ISIC_0012681,6
ISIC_0000419,5
ISIC_0000313,4
ISIC_0000045,6
ISIC_0013184,5
ISIC_0014072,4
ISIC_0014473,5
ISIC_0000508,4
ISIC_0010024,5
ISIC_0014535,2
ISIC_0000374,3
ISIC_0000148,5
ISIC_0000104,5
ISIC_0012749,6
ISIC_0000301,5
ISIC_0011112,6
ISIC_0012224,4
ISIC_0011363,5
ISIC_0012299,2
ISIC_0009925,5
ISIC_0011352,5
ISIC_0009875,6
ISIC_0002885,5
ISIC_0010174,6
ISIC_0000288,5
ISIC_0014576,1
ISIC_0011090,5
ISIC_0010092,6
ISIC_0010374,5
ISIC_0009533,4
ISIC_0013385,5
ISIC_0013052,1
ISIC_0013032,5
ISIC_0013935,5
ISIC_0000513,5
ISIC_0000443,3
ISIC_0010100,1
ISIC_0012659,3
ISIC_0009078,6
ISIC_0010057,5
ISIC_0000455,5
ISIC_0008785,4
ISIC_0010553,5
ISIC_0000471,5
ISIC_0000208,4
ISIC_0013981,5
ISIC_0012713,5
ISIC_0008406,3
ISIC_0003174,5
ISIC_0013845,3
ISIC_0000133,5
ISIC_0013126,6
ISIC_0014522,5
ISIC_0013876,5
ISIC_0000149,5
ISIC_0008993,4
ISIC_0012529,5
ISIC_0013499,4
ISIC_0013721,1
ISIC_0010019,6
ISIC_0013554,5
ISIC_0012433,2
ISIC_0010088,3
ISIC_0000297,5
ISIC_0013244,5
ISIC_0000525,5
ISIC_0008600,5
ISIC_0013816,5
ISIC_0010476,5
ISIC_0011214,5
ISIC_0012228,4
ISIC_0010862,6
ISIC_0012742,5
ISIC_0013486,4
ISIC_0010013,6
ISIC_0000448,5
ISIC_0013383,5
ISIC_0014516,5
ISIC_0011211,6
ISIC_0012793,5
ISIC_0010176,5
ISIC_0010371,6
ISIC_0002948,1
ISIC_0000243,6
ISIC_0000277,6
ISIC_0000540,5
ISIC_0011082,5
ISIC_0001133,5
ISIC_0000445,5
ISIC_0010332,6
ISIC_0012167,4
ISIC_0014843,5
ISIC_0010857,4
ISIC_0014080,5
ISIC_0013378,6
ISIC_0013929,2
ISIC_0010847,6
ISIC_0011199,5
ISIC_0000025,4
ISIC_0013012,5
ISIC_0010053,5
ISIC_0014592,5
ISIC_0000139,6
ISIC_0012855,5
ISIC_0000120,6
ISIC_0000004,5
ISIC_0014762,5
ISIC_0013480,5
ISIC_0010364,5
ISIC_0000366,5
ISIC_0012887,6
ISIC_0000166,6
ISIC_0012840,6
ISIC_0013707,3
ISIC_0000352,4
ISIC_0010853,6
ISIC_0000521,5
ISIC_0012348,3
ISIC_0011121,3
ISIC_0006711,6
ISIC_0000371,6
ISIC_0014845,6
ISIC_0014081,5
ISIC_0011220,5
ISIC_0013836,5
ISIC_0011296,5
ISIC_0010059,5
ISIC_0000043,6
ISIC_0013086,5
ISIC_0012445,5
ISIC_0014771,5
ISIC_0013084,5
ISIC_0010444,5
ISIC_0000518,5
ISIC_0000138,5
ISIC_0000344,5
ISIC_0013799,5
ISIC_0002976,4
ISIC_0010850,5
ISIC_0014930,5
ISIC_0012699,5
ISIC_0014724,5
ISIC_0002438,4
ISIC_0010864,6
ISIC_0012179,5
ISIC_0012788,5
ISIC_0000161,6
ISIC_0013207,4
ISIC_0000465,5
ISIC_0000050,5
ISIC_0000531,4
ISIC_0015108,5
ISIC_0001142,5
ISIC_0014802,5
ISIC_0000244,6
ISIC_0013597,5
ISIC_0014166,2
ISIC_0000094,4
ISIC_0012282,2
ISIC_0008541,4
ISIC_0012744,5
ISIC_0010231,2
ISIC_0014613,6
ISIC_0013039,5
ISIC_0014779,5
ISIC_0013525,5
ISIC_0012325,5
ISIC_0010077,5
ISIC_0000517,5
ISIC_0010064,4
ISIC_0012678,4
ISIC_0011386,6
ISIC_0013089,5
ISIC_0012473,2
ISIC_0000245,6
ISIC_0000536,4
ISIC_0014308,2
ISIC_0000475,6
ISIC_0010034,5
ISIC_0009879,2
ISIC_0010570,5
ISIC_0000492,3
ISIC_0013229,4
ISIC_0013841,4
ISIC_0010603,1
ISIC_0009975,6
ISIC_0013758,1
ISIC_0014605,6
ISIC_0014327,5
ISIC_0014596,3
ISIC_0000541,5
ISIC_0000385,6
ISIC_0009950,6
ISIC_0010233,5
ISIC_0013795,6
ISIC_0015006,5
ISIC_0014713,5
ISIC_0012212,4
ISIC_0003005,3
ISIC_0014222,5
ISIC_0013227,3
ISIC_0010178,4
ISIC_0012827,5
ISIC_0012107,5
ISIC_0000021,4
ISIC_0013040,4
ISIC_0011079,2
ISIC_0014157,3
ISIC_0010320,4
ISIC_0015190,5
ISIC_0000539,5
ISIC_0012501,2
ISIC_0005666,4
ISIC_0000113,5
ISIC_0013212,2
ISIC_0011083,5
ISIC_0015295,6
