ID,i
IMD398,5
IMD370,5
IMD140,5
IMD211,5
IMD009,4
IMD407,5
IMD371,5
IMD419,5
IMD107,2
IMD003,6
IMD425,5
IMD386,5
IMD349,5
IMD176,3
IMD043,5
IMD383,2
IMD050,4
IMD360,6
IMD157,5
IMD159,3
IMD027,4
IMD021,5
IMD004,5
IMD280,4
IMD075,5
IMD393,3
IMD376,5
IMD182,1
IMD042,5
IMD208,5
IMD251,5
IMD147,5
IMD041,6
IMD381,2
IMD002,5
IMD254,4
IMD437,6
IMD013,4
IMD144,5
IMD367,3
IMD171,5
IMD240,5
IMD348,5
IMD169,5
IMD426,5
IMD173,4
IMD006,5
IMD166,5
IMD133,4
IMD402,6
IMD019,6
IMD010,2
IMD170,6
IMD030,5
IMD413,5
IMD409,6
IMD306,5
IMD424,5
IMD091,5
IMD196,3
IMD161,4
IMD101,4
IMD365,3
IMD347,5
IMD058,6
IMD304,6
IMD080,5
IMD380,6
IMD092,5
IMD278,3
IMD420,4
IMD112,2
IMD372,5
IMD168,5
IMD408,4
IMD149,5
IMD285,4
IMD242,5
IMD197,5
IMD164,3
IMD014,5
IMD432,5
IMD369,6
IMD388,3
IMD207,5
IMD243,5
IMD206,5
IMD038,5
IMD390,2
IMD364,4
IMD405,6
IMD108,2
IMD162,5
IMD392,2
IMD118,5
IMD203,4
IMD399,5
IMD389,5
IMD022,3
IMD397,5
IMD256,5
IMD126,5
IMD385,4
IMD017,6
IMD210,6
IMD411,5
IMD138,4
IMD423,3
IMD020,5
IMD384,4
IMD150,5
IMD143,3
IMD375,4
IMD078,5
IMD040,5
IMD382,6
IMD200,3
IMD023,4
IMD048,5
IMD044,5
IMD134,4
IMD076,4
IMD153,5
IMD146,6
IMD049,5
IMD015,5
IMD061,6
IMD025,5
IMD008,5
IMD379,5
IMD175,3
IMD395,5
IMD156,4
IMD036,4
IMD429,5
IMD063,5
IMD135,5
IMD400,5
IMD085,5
IMD142,4
IMD177,5
IMD356,4
IMD328,5
IMD033,6
IMD065,5
IMD199,3
IMD396,5
IMD404,5
IMD284,3
IMD057,5
IMD198,2
IMD279,3
IMD152,5
IMD024,6
IMD125,3
IMD368,3
IMD435,5
IMD226,4
IMD154,5
IMD331,5
IMD120,5
IMD418,5
IMD378,4
IMD417,5
IMD018,4
IMD032,5
IMD339,5
IMD103,3
IMD374,4
IMD305,5
IMD105,2
IMD045,3
IMD433,5
IMD406,6
IMD037,4
IMD160,4
IMD031,5
IMD155,4
IMD219,5
IMD139,5
IMD421,3
IMD039,6
IMD132,4
IMD436,5
IMD431,6
IMD312,6
IMD016,4
IMD394,6
IMD064,5
IMD403,4
IMD204,3
IMD047,5
IMD088,5
IMD434,6
IMD137,3
IMD410,4
IMD090,5
IMD430,5
IMD427,6
IMD035,2
