ID,i,ii,iii
ISIC_0000000,0,1,1
ISIC_0000001,1,0,0
ISIC_0000002,2,0,2
ISIC_0000003,1,1,0
ISIC_0000004,0,1,1
ISIC_0000006,1,2,2
ISIC_0000007,0,2,2
ISIC_0000008,1,1,0
ISIC_0000009,1,1,1
ISIC_0000010,2,1,2
ISIC_0000011,1,1,1
ISIC_0000012,0,0,1
ISIC_0000013,1,1,2
ISIC_0000014,1,0,0
ISIC_0000015,1,1,1
ISIC_0000016,1,1,1
ISIC_0000017,2,1,1
ISIC_0000018,1,2,2
ISIC_0000019,2,1,1
ISIC_0000020,2,1,1
ISIC_0000021,2,2,2
ISIC_0000022,1,0,1
ISIC_0000023,1,0,0
ISIC_0000024,2,2,2
ISIC_0000025,1,2,2
ISIC_0000026,2,2,2
ISIC_0000027,0,0,0
ISIC_0000028,1,1,1
ISIC_0000029,0,1,0
ISIC_0000030,2,2,0
ISIC_0000031,2,2,2
ISIC_0000032,1,1,0
ISIC_0000034,1,1,0
ISIC_0000035,2,1,0
ISIC_0000036,1,1,1
ISIC_0000037,1,2,2
ISIC_0000038,0,1,2
ISIC_0000039,0,1,0
ISIC_0000040,2,2,2
ISIC_0000041,2,2,1
ISIC_0000042,1,0,1
ISIC_0000043,1,1,1
ISIC_0000044,0,0,1
ISIC_0000045,0,0,0
ISIC_0000046,1,2,1
ISIC_0000047,0,2,0
ISIC_0000048,0,1,1
ISIC_0000049,1,2,0
ISIC_0000050,2,2,1
ISIC_0000051,2,2,1
ISIC_0000052,0,0,2
ISIC_0000053,1,1,1
ISIC_0000054,0,1,1
ISIC_0000055,2,1,1
ISIC_0000056,1,2,2
ISIC_0000057,1,1,0
ISIC_0000059,1,1,0
ISIC_0000061,1,0,2
ISIC_0000062,0,0,2
ISIC_0000063,1,1,1
ISIC_0000064,0,1,2
ISIC_0000065,1,1,0
ISIC_0000066,0,1,1
ISIC_0000067,0,2,2
ISIC_0000068,2,1,2
ISIC_0000069,1,1,2
ISIC_0000071,1,1,1
ISIC_0000072,0,1,1
ISIC_0000073,1,0,1
ISIC_0000074,2,2,1
ISIC_0000075,0,0,0
ISIC_0000077,1,1,0
ISIC_0000078,1,2,1
ISIC_0000079,2,2,2
ISIC_0000080,0,1,0
ISIC_0000081,1,2,0
ISIC_0000082,1,1,1
ISIC_0000085,1,1,2
ISIC_0000086,1,1,2
ISIC_0000087,1,1,1
ISIC_0000088,1,1,1
ISIC_0000089,1,2,1
ISIC_0000091,0,0,1
ISIC_0000092,0,0,1
ISIC_0000093,2,1,0
ISIC_0000094,1,0,1
ISIC_0000095,0,1,1
ISIC_0000096,1,1,1
ISIC_0000097,1,1,1
ISIC_0000098,1,1,0
ISIC_0000099,0,1,1
ISIC_0000100,1,1,1
ISIC_0000101,1,0,1
ISIC_0000102,1,1,0
ISIC_0000103,0,2,1
ISIC_0000104,0,1,0
ISIC_0000105,1,1,1
ISIC_0000107,2,1,2
ISIC_0000108,1,0,2
ISIC_0000109,1,1,2
ISIC_0000110,0,1,1
ISIC_0000111,1,1,0
ISIC_0000112,0,2,2
ISIC_0000113,0,1,1
ISIC_0000116,1,2,1
ISIC_0000118,0,0,0
ISIC_0000119,1,1,1
ISIC_0000120,1,0,0
ISIC_0000121,0,0,1
ISIC_0000122,1,0,1
ISIC_0000123,1,0,1
ISIC_0000124,1,1,1
ISIC_0000125,1,0,2
ISIC_0000126,1,1,0
ISIC_0000127,2,1,1
ISIC_0000128,1,1,1
ISIC_0000129,1,0,2
ISIC_0000130,1,2,1
ISIC_0000131,0,0,0
ISIC_0000132,2,1,1
ISIC_0000133,1,1,1
ISIC_0000134,1,0,1
ISIC_0000135,0,1,0
ISIC_0000136,1,1,0
ISIC_0000137,2,2,2
ISIC_0000138,0,1,0
ISIC_0000139,0,0,0
ISIC_0000140,1,1,2
ISIC_0000141,1,2,2
ISIC_0000142,0,0,2
ISIC_0000143,2,1,2
ISIC_0000145,1,0,1
ISIC_0000146,1,0,1
ISIC_0000147,1,1,0
ISIC_0000148,1,1,2
ISIC_0000149,1,1,2
ISIC_0000150,2,2,2
ISIC_0000151,2,2,1
ISIC_0000152,0,0,1
ISIC_0000153,1,1,1
