ID,i,ii,iii
IMD002,2,1,1
IMD003,0,0,0
IMD004,0,2,1
IMD006,2,1,1
IMD008,0,1,1
IMD009,1,0,1
IMD010,0,1,0
IMD013,1,1,1
IMD014,2,0,1
IMD015,1,1,1
IMD016,1,1,0
IMD017,0,0,0
IMD018,1,1,0
IMD019,0,0,0
IMD020,1,0,1
IMD021,1,1,1
IMD022,1,1,1
IMD023,1,0,1
IMD024,2,1,2
IMD025,2,1,1
IMD027,1,1,1
IMD030,2,2,2
IMD031,0,2,2
IMD032,1,2,2
IMD033,2,2,1
IMD035,1,2,0
IMD036,1,0,0
IMD037,2,2,1
IMD038,1,1,0
IMD039,0,0,1
IMD040,1,2,1
IMD041,0,1,1
IMD042,0,0,2
IMD043,2,2,2
IMD044,2,2,2
IMD045,1,1,1
IMD047,1,1,2
IMD048,1,1,1
IMD049,1,2,1
IMD050,0,0,1
IMD057,0,2,1
IMD058,2,1,1
IMD061,2,1,2
IMD063,1,2,1
IMD064,2,2,1
IMD065,1,2,1
IMD075,1,2,1
IMD076,1,1,2
IMD078,2,1,1
IMD080,2,2,2
IMD085,1,2,0
IMD088,2,2,1
IMD090,2,2,2
IMD091,2,1,0
IMD092,1,0,1
IMD101,0,2,2
IMD103,0,1,1
IMD105,0,1,2
IMD107,0,1,1
IMD108,0,0,0
IMD112,1,1,2
IMD118,2,2,0
IMD120,1,1,1
IMD125,2,1,1
IMD126,2,2,2
IMD132,2,2,1
IMD133,1,1,1
IMD134,2,1,1
IMD135,1,0,1
IMD137,2,1,2
IMD138,1,1,1
IMD139,1,1,1
IMD140,1,1,1
IMD142,1,2,0
IMD143,1,0,0
IMD144,1,1,2
IMD146,1,1,2
IMD147,2,1,1
IMD149,1,0,1
IMD150,2,1,1
IMD152,2,2,1
IMD153,1,1,1
IMD154,1,1,2
IMD155,1,1,1
IMD156,1,2,1
IMD157,1,2,1
IMD159,0,1,1
IMD160,2,1,1
IMD161,2,1,2
IMD162,2,1,2
IMD164,1,1,2
IMD166,1,1,2
IMD168,2,1,0
IMD169,2,1,1
IMD170,2,2,1
IMD171,2,1,0
IMD173,0,2,1
IMD175,1,1,0
IMD176,1,1,1
IMD177,2,2,1
IMD182,2,2,1
IMD196,2,1,0
IMD197,1,0,1
IMD198,1,2,2
IMD199,0,1,1
IMD200,0,0,0
IMD203,1,1,2
IMD204,0,0,1
IMD206,1,2,0
IMD207,1,1,2
IMD208,2,1,0
IMD210,1,1,2
IMD211,1,2,0
IMD219,2,2,2
IMD226,1,1,2
IMD240,2,2,0
IMD242,2,0,2
IMD243,0,1,2
IMD251,1,1,2
IMD254,0,1,1
IMD256,0,2,1
IMD278,1,1,1
IMD279,2,0,1
IMD280,2,1,0
IMD284,1,2,1
IMD285,0,0,2
IMD304,1,0,2
IMD305,1,2,1
IMD306,1,1,1
IMD312,1,1,1
IMD328,2,2,1
IMD331,1,1,0
IMD339,2,2,0
IMD347,1,1,2
IMD348,2,2,2
IMD349,0,2,2
IMD356,2,1,1
IMD360,2,1,1
IMD364,1,1,1
IMD365,1,1,2
IMD367,0,0,2
IMD368,1,2,1
IMD369,1,1,2
IMD370,1,0,1
IMD371,0,1,2
IMD372,1,2,1
IMD374,1,1,1
IMD375,1,0,1
IMD376,2,1,1
IMD378,2,1,1
IMD379,2,1,1
IMD380,1,1,2
IMD381,2,1,1
IMD382,1,2,1
IMD383,1,0,1
IMD384,0,0,1
IMD385,0,2,1
IMD386,2,1,2
IMD388,2,2,2
IMD389,1,0,1
IMD390,1,1,1
IMD392,1,0,1
IMD393,1,1,1
IMD394,2,0,1
IMD395,1,0,1
IMD396,2,2,1
IMD397,2,2,1
IMD398,2,1,1
IMD399,1,1,1
IMD400,0,0,1
IMD402,1,1,2
IMD403,1,1,2
IMD404,2,2,2
IMD405,1,2,1
IMD406,1,2,1
IMD407,2,1,2
IMD408,2,2,1
IMD409,2,1,2
IMD410,1,1,1
IMD411,1,1,1
IMD413,0,1,1
IMD417,2,2,2
IMD418,2,1,2
IMD419,1,2,1
IMD420,2,2,1
IMD421,2,2,2
IMD423,2,2,2
IMD424,1,2,1
IMD425,2,1,1
IMD426,2,1,2
IMD427,0,1,1
IMD429,1,1,2
IMD430,1,1,2
IMD431,2,1,1
IMD432,1,2,1
IMD433,1,2,1
IMD434,1,2,2
IMD435,1,2,1
IMD436,1,1,1
IMD437,0,1,0
