ID,i,ii,iii
ISIC_0000000,6,6,3
ISIC_0000001,4,8,7
ISIC_0000002,2,0,3
ISIC_0000003,3,4,5
ISIC_0000004,5,5,4
ISIC_0000006,6,5,2
ISIC_0000007,3,5,6
ISIC_0000008,3,2,0
ISIC_0000009,3,4,1
ISIC_0000010,0,2,6
ISIC_0000011,8,6,6
ISIC_0000012,6,6,6
ISIC_0000013,8,2,7
ISIC_0000014,4,3,0
ISIC_0000015,6,0,4
ISIC_0000016,7,6,2
ISIC_0000017,5,6,4
ISIC_0000018,3,0,8
ISIC_0000019,7,5,4
ISIC_0000020,4,5,7
ISIC_0000021,0,8,3
ISIC_0000022,3,3,4
ISIC_0000023,2,0,0
ISIC_0000024,0,1,0
ISIC_0000025,2,1,1
ISIC_0000026,1,1,3
ISIC_0000027,2,8,0
ISIC_0000028,5,4,4
ISIC_0000029,8,1,7
ISIC_0000030,0,4,6
ISIC_0000031,2,0,6
ISIC_0000032,5,1,2
ISIC_0000034,2,2,7
ISIC_0000035,0,2,4
ISIC_0000036,2,2,5
ISIC_0000037,6,5,0
ISIC_0000038,0,3,0
ISIC_0000039,8,4,6
ISIC_0000040,1,1,6
ISIC_0000041,7,0,4
ISIC_0000042,0,6,4
ISIC_0000043,8,0,2
ISIC_0000044,7,6,6
ISIC_0000045,4,0,7
ISIC_0000046,2,1,2
ISIC_0000047,6,4,6
ISIC_0000048,7,1,4
ISIC_0000049,0,8,1
ISIC_0000050,0,1,2
ISIC_0000051,2,0,6
ISIC_0000052,7,1,8
ISIC_0000053,2,3,7
ISIC_0000054,8,6,4
ISIC_0000055,3,4,3
ISIC_0000056,6,1,2
ISIC_0000057,2,7,1
ISIC_0000059,6,5,8
ISIC_0000061,3,5,6
ISIC_0000062,2,6,8
ISIC_0000063,4,5,5
ISIC_0000064,7,8,6
ISIC_0000065,8,8,3
ISIC_0000066,0,7,3
ISIC_0000067,7,4,3
ISIC_0000068,3,5,6
ISIC_0000069,3,8,2
ISIC_0000071,2,3,4
ISIC_0000072,6,2,4
ISIC_0000073,8,8,6
ISIC_0000074,7,1,2
ISIC_0000075,7,7,7
ISIC_0000077,3,2,5
ISIC_0000078,3,5,3
ISIC_0000079,2,3,2
ISIC_0000080,2,4,2
ISIC_0000081,3,2,0
ISIC_0000082,4,8,3
ISIC_0000085,4,5,8
ISIC_0000086,5,7,6
ISIC_0000087,8,6,3
ISIC_0000088,4,5,5
ISIC_0000089,4,6,6
ISIC_0000091,0,0,5
ISIC_0000092,2,8,4
ISIC_0000093,6,3,2
ISIC_0000094,3,1,3
ISIC_0000095,7,4,5
ISIC_0000096,6,0,6
ISIC_0000097,4,5,3
ISIC_0000098,8,4,2
ISIC_0000099,8,5,6
ISIC_0000100,2,3,5
ISIC_0000101,8,2,3
ISIC_0000102,2,4,2
ISIC_0000103,7,4,4
ISIC_0000104,3,4,0
ISIC_0000105,2,6,6
ISIC_0000107,7,3,3
ISIC_0000108,6,5,4
ISIC_0000109,6,5,3
ISIC_0000110,8,4,4
ISIC_0000111,6,5,6
ISIC_0000112,1,3,5
ISIC_0000113,5,0,8
ISIC_0000116,5,1,5
ISIC_0000118,2,5,5
ISIC_0000119,5,6,5
ISIC_0000120,4,3,8
ISIC_0000121,8,2,6
ISIC_0000122,3,6,3
ISIC_0000123,4,6,6
ISIC_0000124,6,5,2
ISIC_0000125,4,1,4
ISIC_0000126,8,3,3
ISIC_0000127,7,4,8
ISIC_0000128,3,3,4
ISIC_0000129,7,6,0
ISIC_0000130,8,6,7
ISIC_0000131,4,8,8
ISIC_0000132,4,6,6
ISIC_0000133,2,4,5
ISIC_0000134,2,0,1
ISIC_0000135,8,4,2
ISIC_0000136,2,8,7
ISIC_0000137,2,3,6
ISIC_0000138,7,4,7
ISIC_0000139,8,6,3
ISIC_0000140,6,6,5
ISIC_0000141,4,5,2
ISIC_0000142,8,0,5
ISIC_0000143,7,6,2
ISIC_0000145,8,1,3
ISIC_0000146,7,2,1
ISIC_0000147,6,4,7
ISIC_0000148,2,2,7
ISIC_0000149,3,4,2
ISIC_0000150,1,5,6
