ID,i,ii,iii
ISIC_0000000,1,1,3
ISIC_0000001,3,2,1
ISIC_0000002,1,3,4
ISIC_0000003,1,3,2
ISIC_0000004,1,2,2
ISIC_0000006,2,2,2
ISIC_0000007,3,1,2
ISIC_0000008,2,1,5
ISIC_0000009,3,2,2
ISIC_0000010,2,2,3
ISIC_0000011,2,1,3
ISIC_0000012,4,3,2
ISIC_0000013,1,1,1
ISIC_0000014,2,1,1
ISIC_0000015,2,1,1
ISIC_0000016,2,1,3
ISIC_0000017,2,1,1
ISIC_0000018,2,1,1
ISIC_0000019,2,6,3
ISIC_0000020,1,3,3
ISIC_0000021,2,4,1
ISIC_0000022,2,1,1
ISIC_0000023,3,1,1
ISIC_0000024,2,1,2
ISIC_0000025,1,1,1
ISIC_0000026,1,1,1
ISIC_0000027,1,1,2
ISIC_0000028,1,3,1
ISIC_0000029,3,1,2
ISIC_0000030,2,4,3
ISIC_0000031,3,3,2
ISIC_0000032,1,6,3
ISIC_0000034,2,2,1
ISIC_0000035,1,1,3
ISIC_0000036,1,4,6
ISIC_0000037,3,1,1
ISIC_0000038,2,3,1
ISIC_0000039,1,2,3
ISIC_0000040,1,2,1
ISIC_0000041,6,1,1
ISIC_0000042,5,1,1
ISIC_0000043,5,1,1
ISIC_0000044,3,3,1
ISIC_0000045,1,3,2
ISIC_0000046,1,5,2
ISIC_0000047,2,2,1
ISIC_0000048,1,1,1
ISIC_0000049,3,1,3
ISIC_0000050,5,1,2
ISIC_0000051,1,2,2
ISIC_0000052,2,2,1
ISIC_0000053,1,3,1
ISIC_0000054,2,2,1
ISIC_0000055,1,2,2
ISIC_0000056,1,3,3
ISIC_0000057,1,2,2
ISIC_0000059,2,1,2
ISIC_0000061,1,1,1
ISIC_0000062,2,2,1
ISIC_0000063,3,3,3
ISIC_0000064,3,6,2
ISIC_0000065,4,4,3
ISIC_0000066,1,1,3
ISIC_0000067,2,1,2
ISIC_0000068,2,3,1
ISIC_0000069,2,1,2
ISIC_0000071,3,1,3
ISIC_0000072,3,2,1
ISIC_0000073,2,1,3
ISIC_0000074,2,3,2
ISIC_0000075,2,2,4
ISIC_0000077,3,1,1
ISIC_0000078,2,1,2
ISIC_0000079,2,2,2
ISIC_0000080,2,1,3
ISIC_0000081,6,1,3
ISIC_0000082,2,2,2
ISIC_0000085,3,2,2
ISIC_0000086,3,1,1
ISIC_0000087,2,3,1
ISIC_0000088,1,3,2
ISIC_0000089,3,2,3
ISIC_0000091,6,1,6
ISIC_0000092,1,2,1
ISIC_0000093,2,3,4
ISIC_0000094,2,1,1
ISIC_0000095,0,2,3
ISIC_0000096,2,1,0
ISIC_0000097,2,3,4
ISIC_0000098,3,1,1
ISIC_0000099,3,2,3
ISIC_0000100,0,3,3
ISIC_0000101,1,3,3
ISIC_0000102,1,1,1
ISIC_0000103,2,2,6
ISIC_0000104,6,1,2
ISIC_0000105,3,2,2
ISIC_0000107,3,3,3
ISIC_0000108,1,1,1
ISIC_0000109,3,1,2
ISIC_0000110,1,2,1
ISIC_0000111,1,4,3
ISIC_0000112,1,2,1
ISIC_0000113,2,3,6
ISIC_0000116,2,1,2
ISIC_0000118,1,3,2
ISIC_0000119,3,0,3
ISIC_0000120,3,2,2
ISIC_0000121,3,2,2
ISIC_0000122,3,1,2
ISIC_0000123,4,2,1
ISIC_0000124,3,1,1
ISIC_0000125,1,6,1
ISIC_0000126,3,1,1
ISIC_0000127,4,6,1
ISIC_0000128,2,1,2
ISIC_0000129,2,2,4
ISIC_0000130,3,3,3
ISIC_0000131,1,2,2
ISIC_0000132,3,2,2
ISIC_0000133,3,1,3
ISIC_0000134,2,2,6
ISIC_0000135,2,3,2
ISIC_0000136,2,2,3
ISIC_0000137,1,3,1
ISIC_0000138,1,2,3
ISIC_0000139,4,2,4
ISIC_0000140,2,2,3
ISIC_0000141,2,3,4
ISIC_0000142,1,3,1
ISIC_0000143,3,1,3
ISIC_0000145,1,2,1
ISIC_0000146,2,2,1
ISIC_0000147,3,2,4
ISIC_0000148,3,1,3
ISIC_0000149,2,1,3
ISIC_0000150,4,2,4
ISIC_0000151,5,3,3
ISIC_0000152,3,4,2
ISIC_0000153,3,4,2
ISIC_0000154,1,5,2
ISIC_0000155,3,4,3
ISIC_0000156,4,1,3
ISIC_0000157,2,4,2
ISIC_0000159,5,1,3
ISIC_0000160,1,5,3
ISIC_0000161,4,3,3
ISIC_0000162,2,1,2
ISIC_0000163,3,3,3
ISIC_0000164,2,3,3
ISIC_0000165,6,1,1
ISIC_0000166,4,3,3
ISIC_0000167,2,3,4
ISIC_0000169,1,2,1
ISIC_0000171,3,3,1
ISIC_0000172,2,3,3
ISIC_0000174,2,1,3
ISIC_0000176,3,1,2
ISIC_0000177,3,4,1
ISIC_0000179,2,3,2
ISIC_0000181,3,3,3
ISIC_0000182,2,2,2
ISIC_0000184,1,1,3
ISIC_0000185,5,4,1
ISIC_0000186,2,2,1
ISIC_0000188,1,2,2
ISIC_0000189,1,2,2
ISIC_0000190,3,3,3
ISIC_0000191,3,2,3
ISIC_0000192,3,2,1
ISIC_0000193,3,2,2
ISIC_0000196,3,3,5
ISIC_0000197,3,1,1
ISIC_0000198,2,2,2
ISIC_0000199,3,2,1
ISIC_0000201,4,3,3
ISIC_0000202,2,1,2
ISIC_0000203,0,5,1
ISIC_0000204,3,3,3
ISIC_0000205,2,2,2
ISIC_0000206,3,2,1
ISIC_0000207,1,2,3
ISIC_0000208,2,2,2
ISIC_0000209,4,3,6
ISIC_0000211,2,2,1
ISIC_0000212,2,2,3
ISIC_0000213,2,3,2
ISIC_0000214,2,1,1
ISIC_0000215,3,3,2
ISIC_0000216,2,2,5
ISIC_0000217,1,3,2
ISIC_0000218,3,1,3
ISIC_0000219,2,3,4
ISIC_0000220,1,2,2
ISIC_0000221,2,3,3
ISIC_0000222,2,1,2
ISIC_0000223,1,3,3
ISIC_0000224,2,3,2
ISIC_0000225,2,2,1
ISIC_0000226,1,2,1
ISIC_0000227,1,2,3
ISIC_0000229,2,2,2
ISIC_0000231,1,2,2
ISIC_0000232,1,2,2
ISIC_0000233,3,2,1
ISIC_0000234,3,1,2
ISIC_0000235,3,2,3
ISIC_0000236,1,1,4
ISIC_0000237,2,3,4
ISIC_0000239,3,2,2
ISIC_0000240,2,2,1
ISIC_0000242,2,1,2
ISIC_0000243,3,3,2
ISIC_0000244,4,2,3
ISIC_0000245,3,1,2
ISIC_0000246,3,3,2
ISIC_0000247,1,2,1
ISIC_0000250,3,1,1
ISIC_0000251,1,3,2
ISIC_0000252,3,3,6
ISIC_0000253,2,3,2
ISIC_0000254,1,2,3
ISIC_0000255,3,1,4
ISIC_0000256,3,1,1
ISIC_0000258,1,2,2
ISIC_0000259,6,1,3
ISIC_0000260,1,2,2
ISIC_0000261,2,4,4
ISIC_0000262,2,2,1
ISIC_0000263,3,4,1
ISIC_0000264,2,1,2
ISIC_0000265,3,1,4
ISIC_0000268,2,1,2
ISIC_0000269,1,2,1
ISIC_0000274,1,3,2
ISIC_0000275,1,2,2
ISIC_0000276,3,3,4
ISIC_0000277,2,3,2
