ID,i,ii,iii
IMD002,6,1,0
IMD003,2,1,1
IMD004,2,3,1
IMD006,2,2,6
IMD008,2,2,2
IMD009,6,6,0
IMD010,2,2,0
IMD013,2,0,6
IMD014,1,1,1
IMD015,1,2,2
IMD016,3,6,1
IMD017,4,2,2
IMD018,2,3,3
IMD019,3,2,2
IMD020,1,2,2
IMD021,0,2,6
IMD022,6,3,0
IMD023,6,2,4
IMD024,1,2,6
IMD025,6,1,3
IMD027,3,1,2
IMD030,1,6,4
IMD031,2,0,3
IMD032,6,2,6
IMD033,4,4,3
IMD035,5,3,2
IMD036,2,6,2
IMD037,3,6,3
IMD038,3,1,3
IMD039,6,1,0
IMD040,2,3,1
IMD041,4,1,6
IMD042,1,3,2
IMD043,3,6,2
IMD044,2,1,3
IMD045,2,1,2
IMD047,1,4,6
IMD048,0,1,2
IMD049,6,3,1
IMD050,6,2,2
IMD057,6,3,2
IMD058,3,3,6
IMD061,3,2,6
IMD063,6,2,3
IMD064,1,2,6
IMD065,3,6,4
IMD075,2,3,3
IMD076,3,3,5
IMD078,2,1,1
IMD080,3,1,3
IMD085,4,4,3
IMD088,6,1,5
IMD090,2,2,3
IMD091,2,3,6
IMD092,2,4,1
IMD101,6,4,2
IMD103,6,2,3
IMD105,2,2,6
IMD107,6,4,2
IMD108,2,1,2
IMD112,1,4,6
IMD118,2,0,2
IMD120,2,6,2
IMD125,2,4,2
IMD126,5,1,2
IMD132,6,6,1
IMD133,0,2,2
IMD134,2,1,2
IMD135,5,2,0
IMD137,2,6,1
IMD138,0,5,3
IMD139,6,1,2
IMD140,1,3,2
IMD142,2,1,2
IMD143,3,6,2
IMD144,1,6,4
IMD146,1,6,6
IMD147,6,1,6
IMD149,2,2,3
IMD150,6,6,2
IMD152,2,3,4
IMD153,2,6,3
IMD154,1,6,4
IMD155,6,2,4
IMD156,1,2,1
IMD157,0,1,3
IMD159,2,0,3
IMD160,2,1,2
IMD161,2,0,6
IMD162,2,1,6
IMD164,2,3,2
IMD166,3,4,4
IMD168,4,5,0
IMD169,3,1,2
IMD170,6,5,3
IMD171,3,0,2
IMD173,5,2,6
IMD175,2,5,2
IMD176,3,6,2
IMD177,2,2,1
IMD182,6,1,5
IMD196,6,2,2
IMD197,6,6,2
IMD198,1,2,2
IMD199,3,3,6
IMD200,2,1,1
IMD203,1,6,6
IMD204,3,2,2
IMD206,1,6,2
IMD207,2,2,0
IMD208,2,1,2
IMD210,1,4,6
IMD211,1,3,1
IMD219,4,1,3
IMD226,0,2,6
IMD240,1,2,2
IMD242,6,5,2
IMD243,2,0,1
IMD251,1,2,1
IMD254,1,2,6
IMD256,6,3,1
IMD278,0,1,2
IMD279,6,1,2
IMD280,2,1,3
IMD284,6,6,1
IMD285,4,3,1
IMD304,2,5,0
IMD305,3,6,1
IMD306,5,1,2
IMD312,2,0,3
IMD328,6,3,6
IMD331,2,1,6
IMD339,2,6,1
IMD347,2,3,6
IMD348,1,3,4
IMD349,2,3,3
IMD356,3,1,6
IMD360,2,3,6
IMD364,6,3,6
IMD365,6,5,0
IMD367,1,1,3
IMD368,6,0,2
IMD369,6,3,6
IMD370,6,2,4
IMD371,2,3,6
IMD372,5,6,1
IMD374,6,3,6
IMD375,2,2,2
IMD376,6,3,6
IMD378,4,6,6
IMD379,2,1,2
IMD380,1,2,2
IMD381,2,1,6
IMD382,3,6,6
IMD383,6,1,1
IMD384,6,4,0
IMD385,2,1,4
IMD386,2,2,6
IMD388,2,1,3
IMD389,0,0,2
IMD390,2,0,6
IMD392,0,6,3
IMD393,6,3,2
IMD394,4,1,0
IMD395,1,0,3
IMD396,3,2,2
IMD397,6,3,2
IMD398,6,1,3
IMD399,2,3,6
IMD400,0,1,3
IMD402,6,2,3
IMD403,5,2,6
IMD404,2,4,2
IMD405,6,3,2
IMD406,4,3,1
IMD407,2,3,2
IMD408,4,4,6
IMD409,3,4,3
IMD410,6,6,6
IMD411,1,2,6
IMD413,4,2,6
IMD417,6,4,2
IMD418,6,2,3
IMD419,4,3,1
IMD420,2,3,1
IMD421,6,1,4
IMD423,6,1,1
IMD424,5,1,3
IMD425,6,0,2
IMD426,4,1,5
IMD427,3,3,6
IMD429,2,2,2
IMD430,6,6,3
IMD431,3,6,3
IMD432,1,5,3
IMD433,6,3,1
IMD434,3,6,1
IMD435,6,0,2
IMD436,3,3,5
IMD437,4,3,3
