ID;Asymmetry_1_1;Asymmetry_1_2;Asymmetry_1_3;Border_1_1;Border_1_2;Border_1_3;Color_1_1;Color_1_2;Color_1_3;;;;;;;;;;;;;;;
ISIC_0000002;2;1;2;2;4;4;4;3;4;;;;;;;;;;;;;;;
ISIC_0000004;1;0;0;6;4;6;3;2;3;;;;;;;;;;;;;;;
ISIC_0000013;1;1;2;5;3;6;4;4;4;;;;;;;;;;;;;;;
ISIC_0000022;2;1;1;4;3;3;3;2;3;;;;;;;;;;;;;;;
ISIC_0000026;1;2;2;2;3;8;2;3;4;;;;;;;;;;;;;;;
ISIC_0000029;2;2;2;8;4;5;3;2;3;;;;;;;;;;;;;;;
ISIC_0000030;1;0;0;3;2;1;3;2;3;;;;;;;;;;;;;;;
ISIC_0000031;2;2;0;5;4;4;3;3;4;;;;;;;;;;;;;;;
ISIC_0000035;1;1;2;3;3;6;3;2;3;;;;;;;;;;;;;;;
ISIC_0000036;1;2;2;3;3;4;3;2;3;;;;;;;;;;;;;;;
ISIC_0000040;2;2;2;4;4;6;2;3;3;;;;;;;;;;;;;;;
ISIC_0000043;1;1;0;2;3;3;2;3;4;;;;;;;;;;;;;;;
ISIC_0000046;1;0;0;2;2;8;2;2;2;;;;;;;;;;;;;;;
ISIC_0000049;2;2;1;4;4;8;1;2;3;;;;;;;;;;;;;;;
ISIC_0000054;2;2;2;5;2;4;2;2;3;;;;;;;;;;;;;;;
ISIC_0000056;2;2;2;5;4;4;3;2;4;;;;;;;;;;;;;;;
ISIC_0000074;2;1;1;4;3;7;2;3;4;;;;;;;;;;;;;;;
ISIC_0000077;2;2;2;6;3;7;2;3;4;;;;;;;;;;;;;;;
ISIC_0000000;2;2;1;5;3;8;2;2;4;;;;;;;;;;;;;;;
ISIC_0000001;2;2;1;7;6;7;3;2;4;;;;;;;;;;;;;;;
ISIC_0000003;2;2;2;8;3;8;2;2;2;;;;;;;;;;;;;;;
ISIC_0000006;2;1;2;3;3;6;2;2;2;;;;;;;;;;;;;;;
ISIC_0000007;1;1;1;4;0;3;2;2;4;;;;;;;;;;;;;;;
ISIC_0000008;1;2;2;3;5;8;1;3;2;;;;;;;;;;;;;;;
ISIC_0000009;2;2;1;7;0;4;3;2;4;;;;;;;;;;;;;;;
ISIC_0000010;1;1;2;2;3;6;3;2;3;;;;;;;;;;;;;;;
ISIC_0000011;2;0;1;5;2;2;2;2;3;;;;;;;;;;;;;;;
ISIC_0000012;2;1;2;3;2;4;3;2;3;;;;;;;;;;;;;;;
ISIC_0000014;1;2;1;4;1;5;3;4;4;;;;;;;;;;;;;;;
ISIC_0000015;2;2;2;4;3;8;4;3;4;;;;;;;;;;;;;;;
ISIC_0000016;2;1;2;4;3;8;5;2;5;;;;;;;;;;;;;;;
ISIC_0000017;2;0;1;5;2;4;2;3;3;;;;;;;;;;;;;;;
ISIC_0000018;1;0;0;4;3;3;4;3;4;;;;;;;;;;;;;;;
ISIC_0000019;1;0;0;3;3;6;3;3;5;;;;;;;;;;;;;;;
ISIC_0000020;2;2;1;6;4;4;5;4;4;;;;;;;;;;;;;;;
ISIC_0000021;2;1;1;6;3;6;4;3;4;;;;;;;;;;;;;;;
ISIC_0000023;2;1;2;6;4;6;3;3;3;;;;;;;;;;;;;;;
ISIC_0000024;1;0;0;1;1;2;3;2;3;;;;;;;;;;;;;;;
ISIC_0000025;2;2;2;6;3;7;3;2;3;;;;;;;;;;;;;;;
ISIC_0000027;2;2;2;3;3;4;2;1;2;;;;;;;;;;;;;;;
ISIC_0000028;2;1;2;6;3;6;4;3;4;;;;;;;;;;;;;;;
ISIC_0000032;2;2;1;5;3;5;3;2;3;;;;;;;;;;;;;;;
ISIC_0000034;1;1;0;3;3;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0000037;1;0;0;2;2;8;3;3;3;;;;;;;;;;;;;;;
ISIC_0000038;2;1;2;7;5;6;2;2;3;;;;;;;;;;;;;;;
ISIC_0000039;2;2;1;4;2;6;3;3;3;;;;;;;;;;;;;;;
ISIC_0000041;1;1;1;3;3;6;2;2;2;;;;;;;;;;;;;;;
ISIC_0000042;1;1;2;4;0;8;3;2;3;;;;;;;;;;;;;;;
ISIC_0000044;2;2;2;5;3;8;3;3;3;;;;;;;;;;;;;;;
ISIC_0000045;2;2;2;5;4;5;2;2;2;;;;;;;;;;;;;;;
ISIC_0000047;0;1;0;2;3;1;3;3;3;;;;;;;;;;;;;;;
ISIC_0000048;1;2;1;4;4;4;3;3;3;;;;;;;;;;;;;;;
ISIC_0000050;2;2;1;4;3;2;2;2;2;;;;;;;;;;;;;;;
ISIC_0000051;2;1;1;4;3;4;2;4;2;;;;;;;;;;;;;;;
ISIC_0000052;1;1;1;4;4;4;2;2;2;;;;;;;;;;;;;;;
ISIC_0000053;1;0;1;2;2;2;2;1;2;;;;;;;;;;;;;;;
ISIC_0000055;1;1;1;4;4;3;2;3;2;;;;;;;;;;;;;;;
ISIC_0000057;1;0;1;3;3;1;3;4;3;;;;;;;;;;;;;;;
ISIC_0000059;1;1;0;2;3;4;1;3;2;;;;;;;;;;;;;;;
ISIC_0000061;2;1;1;3;4;3;2;4;4;;;;;;;;;;;;;;;
ISIC_0000062;0;0;0;0;2;1;3;3;2;;;;;;;;;;;;;;;
ISIC_0000063;0;0;0;2;2;3;2;3;2;;;;;;;;;;;;;;;
ISIC_0000064;0;1;1;3;2;4;2;4;3;;;;;;;;;;;;;;;
ISIC_0000065;2;1;1;1;2;4;3;3;3;;;;;;;;;;;;;;;
ISIC_0000066;0;0;1;3;3;3;2;3;2;;;;;;;;;;;;;;;
ISIC_0000067;0;0;0;4;3;2;2;2;1;;;;;;;;;;;;;;;
ISIC_0000068;1;0;0;2;1;1;3;3;3;;;;;;;;;;;;;;;
ISIC_0000069;1;1;1;3;3;4;2;3;3;;;;;;;;;;;;;;;
ISIC_0000071;0;2;0;1;2;2;2;3;3;;;;;;;;;;;;;;;
ISIC_0000072;1;2;1;8;5;7;3;4;4;;;;;;;;;;;;;;;
ISIC_0000073;0;0;0;0;1;1;2;3;1;;;;;;;;;;;;;;;
ISIC_0000075;2;1;1;5;5;2;2;2;2;;;;;;;;;;;;;;;
ISIC_0000079;0;1;0;8;3;4;2;3;2;;;;;;;;;;;;;;;
ISIC_0000080;0;0;0;1;1;1;3;3;3;;;;;;;;;;;;;;;
ISIC_0000081;2;1;1;6;4;4;2;3;1;;;;;;;;;;;;;;;
ISIC_0000082;1;1;2;2;3;4;2;3;2;;;;;;;;;;;;;;;
ISIC_0000085;1;1;1;7;4;7;3;2;3;;;;;;;;;;;;;;;
ISIC_0000086;0;0;0;1;2;2;2;3;2;;;;;;;;;;;;;;;
ISIC_0000087;0;0;0;0;2;0;3;3;4;;;;;;;;;;;;;;;
ISIC_0000088;2;1;1;4;2;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0000089;1;1;0;4;1;2;3;3;4;;;;;;;;;;;;;;;
ISIC_0000091;1;0;0;1;1;0;2;2;2;;;;;;;;;;;;;;;
ISIC_0000092;1;0;0;2;2;1;2;2;2;;;;;;;;;;;;;;;
ISIC_0000093;0;1;0;2;2;1;3;3;2;;;;;;;;;;;;;;;
ISIC_0000094;1;1;1;3;2;1;2;2;3;;;;;;;;;;;;;;;
ISIC_0000095;1;1;1;2;3;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0000096;1;1;1;4;4;4;2;3;4;;;;;;;;;;;;;;;
ISIC_0000097;0;1;1;1;3;2;4;3;5;;;;;;;;;;;;;;;
ISIC_0000098;0;0;1;2;2;0;2;2;2;;;;;;;;;;;;;;;
ISIC_0000099;2;1;1;3;2;2;3;3;5;;;;;;;;;;;;;;;
ISIC_0000100;1;1;1;2;2;1;3;3;3;;;;;;;;;;;;;;;
ISIC_0000101;0;1;0;0;2;1;2;2;4;;;;;;;;;;;;;;;
ISIC_0000102;1;1;2;2;3;3;1;2;2;;;;;;;;;;;;;;;
ISIC_0000103;1;1;2;3;3;6;3;3;4;;;;;;;;;;;;;;;
ISIC_0000104;1;1;1;4;3;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0000105;1;1;1;1;3;4;2;2;3;;;;;;;;;;;;;;;
ISIC_0000107;2;2;2;2;3;4;2;3;3;;;;;;;;;;;;;;;
