ID;Asymmetry_1;Asymmetry_2;Asymmetry_3;Border_1;Border_2;Border_3;Color_1;Color_2;Color_3;Kleur_1;Kleur_2;Kleur_3
ISIC_0000078;2;2;2;4;4;4;4;4;4;0,5;0,5;0,5
ISIC_0000139;2;2;2;3;3;3;5;5;5;1,2;1,2;1,2
ISIC_0000140;5;3;5;2;3;2;5;5;4;0;0;0
ISIC_0000141;1;2;1;4;4;4;3;3;3;0;0;0
ISIC_0000142;1;2;1;2;2;2;4;4;4;0;0;0
ISIC_0000143;2;3;3;5;4;5;5;5;5;0,4;0,4;0,4
ISIC_0000145;1;1;1;2;2;2;4;2;5;0,2;0,2;0,2
ISIC_0000146;2;2;2;3;4;4;3;4;3;1,2;1,2;1,2
ISIC_0000147;1;5;1;4;4;4;5;5;5;1,2;1,2;1,2
ISIC_0000148;4;4;3;2;2;2;3;2;3;0;0,3;0
ISIC_0000149;1;3;1;5;4;5;5;4;5;3;3;3
ISIC_0000150;5;5;5;5;5;4;5;5;5;0,4;0,4;0,4
ISIC_0000151;4;5;4;4;4;4;4;4;4;0,4;0,4;0,4
ISIC_0000152;2;4;2;3;3;3;4;5;4;0,4;0,4;0,4
ISIC_0000153;3;3;2;5;5;5;4;4;5;3;3;3
ISIC_0000154;2;3;2;3;3;3;3;3;3;0,2;0,2;0,2
ISIC_0000155;3;3;3;2;4;2;4;4;4;0;0;0
ISIC_0000156;4;4;4;4;4;3;3;3;3;0,4;0,4;0,4
ISIC_0000111;2;4;2;2;2;2;2;2;2;0,4;0,4;0,4
ISIC_0000112;2;2;2;4;4;4;2;2;2;1,4;1,4;1,4
ISIC_0000113;1;2;1;3;3;3;3;2;3;1,07;2;1,07
ISIC_0000116;5;5;5;3;4;4;2;2;2;1,4;1,4;1,4
ISIC_0000118;2;2;2;1;1;1;2;2;2;1,4;0,4;1,4
ISIC_0000119;2;2;3;2;2;2;4;4;4;0,1;0,3;0,1
ISIC_0000120;2;2;2;3;3;3;5;4;5;1,05;1,6;1,05
ISIC_0000121;1;1;1;1;1;1;3;3;3;1;1;1
ISIC_0000122;2;2;2;3;3;4;2;2;2;1,5;1;1,04
ISIC_0000123;1;1;1;1;1;1;2;2;3;0,2;0,2;0,2
ISIC_0000124;2;2;3;2;2;2;2;2;2;0,6;0,6;0,6
ISIC_0000125;1;1;1;1;1;1;1;1;1;0,4;0,4;0,1
ISIC_0000126;2;3;3;2;2;2;5;5;5;0,6;0,6;0,6
ISIC_0000127;3;2;3;5;5;4;5;4;5;0,41;0,4;0,41
ISIC_0000128;2;2;2;2;2;2;2;2;2;0,6;0,6;0,6
ISIC_0000129;2;2;2;1;1;1;2;2;2;0,1;0,3;0,1
