ID;Asymmetry_3_1;Asymmetry_3_2;Asymmetry_3_3;Border_3_1;Border_3_2;Border_3_3;Color_3_4;Color_3_5;Color_3_6
ISIC_0000157;0;0;0;2;3;2;0,1,2,6,7;1, 2, 5;1,2,8
ISIC_0000159;1;0;1;2;2;3;2,6,7,4;1, 6, 5;8,7,1,5
ISIC_0000160;0;0;0;4;3;3;1,2,6,4;2, 4;6,2,1,4,3
ISIC_0000161;1;1;1;5;4;4;0,1,2,6;0, 1;2,0,3,7
ISIC_0000162;1;1;0;5;3;2;1,2,6,4;2, 4;4,2,6
ISIC_0000163;1;1;1;2;1;3;0,1,2,7;0, 1, 2, 7;8,7,1,2,4
ISIC_0000164;1;1;1;4;4;4;0,1,8,7;0, 1, 7;8,1,2,0,5
ISIC_0000165;1;1;1;5;5;4;0,1,6;1, 6;1,2,4
ISIC_0000166;1;1;1;5;5;5;0,1,2,8,7,4;1, 5, 7, 4;4,8,7,5,1,2
ISIC_0000167;1;1;1;3;3;2;1,2,6,7;1, 2, 5;3,4,1,2,8,7
ISIC_0000169;1;1;1;5;3;3;2,6,5,7;1, 2, 5, 7;5,6,1,2,4
ISIC_0000171;1;1;1;5;4;2;1,2,6,7;1, 2;1,2,4
ISIC_0000172;1;1;1;5;5;4;0,1,2,6,3;1, 2;1,2,4,3
ISIC_0000174;1;1;1;4;2;4;1,2,8,7,4;1, 7, 4;1,2,4,8,7
ISIC_0000176;1;1;0;3;5;3;1,2,6;2;1,2,6,4
ISIC_0000276;1;0;0;4;5;5;1,2,5,7;2, 5, 4;4,1,6,5
ISIC_0000277;0;0;0;5;1;2;1,2,6;2;1,6,0,4,3
ISIC_0000278;0;1;0;2;2;2;1,2,6,3;2, 6;2,3,6
ISIC_0000246;0;0;0;2;1;1;1,2,6;0, 1;1,2,0,6
ISIC_0000247;0;1;1;2;5;4;0,1,2;1, 2;0,1,2,3,4
ISIC_0000250;1;1;1;5;3;3;1,2;1, 2;1,2,3,4
ISIC_0000251;1;0;0;3;2;2;0,1,2,3;1, 2;1,2,3,4,6
ISIC_0000252;0;1;0;2;5;4;1,2;2, 4;2,3,4
ISIC_0000253;0;0;0;5;4;4;0,1,2;0, 1;0,1,2
ISIC_0000254;0;0;0;4;2;5;0,1,2,6;1, 2, 4;1,2,6,5,3,4
ISIC_0000255;1;0;0;3;2;2;1,2,6,7,3;2, 3, 4;2,3,4,5,6
ISIC_0000256;1;1;1;3;5;3;0,1,2,6,3;1, 6;1,2,6
ISIC_0000258;0;0;0;3;4;2;0,1,2;1, 2;0,1,2
ISIC_0000259;1;1;1;5;5;4;0,1,2;1, 4;4,1,2,3
ISIC_0000260;1;1;1;4;4;3;0,2,6,3;1, 2, 6, 3;1,2,3
ISIC_0000261;1;1;0;4;2;3;1,2,4;2, 3, 4;4,2,3
ISIC_0000262;1;1;1;3;3;4;0,1,2,7;0, 2, 8, 7;8,7,1,2,0,3
ISIC_0000263;0;0;0;2;1;2;1,2,4;2, 4;4,3,2
ISIC_0000264;0;0;0;3;4;2;0,1,2,6;0, 1;1,2,6
ISIC_0000265;1;1;1;2;2;3;0,1,2,6,5,7;0, 2, 6, 5, 7, 3, 4;0,1,6,5,8,7,3,4
ISIC_0000268;1;1;0;2;1;3;1,2;2, 4;2,6,3,4
ISIC_0000269;1;1;1;4;5;5;0,1,2,5;0, 2, 5, 7;0,2,6,4
ISIC_0000274;1;0;1;4;1;5;0,1,2,5,3;0, 1, 8, 4;4,1,6,7
ISIC_0000275;1;0;1;3;2;2;1,2,6,3;2, 3, 4;4,3,2,6
ISIC_0000315;1;0;1;2;2;3;1,2,3;1, 2;1,2,3,0
ISIC_0000316;1;0;1;3;1;3;2,6;2, 3, 4;2,6,3,4
ISIC_0000317;1;0;1;1;1;3;0,1,2,3;1, 2, 5;1,2,3,4
ISIC_0000319;1;1;1;2;3;3;0,1,2,3;0, 1, 2, 5;0,1,2,7,3,4
ISIC_0000320;1;0;1;2;2;3;1,2,3,4;2, 4;4,3,2
ISIC_0000321;0;0;0;2;1;2;0,1,2,3;1, 2;1,2,3
ISIC_0000322;0;1;0;2;4;4;0,1,2,3,4;0, 1, 2, 6;1,2,3,4,5
ISIC_0000323;1;0;1;3;2;5;5,7,3,4;2, 5, 4;4,3,5
ISIC_0000324;1;1;1;2;2;4;0,1,2,3;1, 2, 4;1,2,3,4
ISIC_0000325;1;1;0;3;3;4;1,2,3;1, 2;1,2,3,4,6
ISIC_0000326;1;1;1;4;3;3;1,2;1, 2;1,2,3,4
ISIC_0000327;0;0;0;2;1;3;0,1,2,3;1, 2, 4;1,2,3,4
ISIC_0000328;1;1;1;3;2;5;1,2,8,3,4;3, 4;4,6,3,2
ISIC_0000329;0;0;0;2;2;3;1,2,3;2, 4;1,2,3,4
ISIC_0000330;0;1;0;2;3;2;0,1,2,3;0, 1;0,1,2
ISIC_0000331;0;0;0;2;2;2;1,2,7,3;1, 2, 8, 4;1,2,6,8,3
ISIC_0000332;1;1;1;4;4;4;1,2,8,3,4;1, 2, 5;4,3,1,2,8
ISIC_0000336;1;1;1;3;2;3;0,1,2,3;0, 1;0,1,2,6
ISIC_0000338;1;0;1;3;4;3;0,1,2;0, 1, 2;1,2,4
ISIC_0000340;0;1;0;2;3;2;0,1,2,3;0, 1, 2;1,2,4
ISIC_0000341;1;1;0;4;3;3;1,2;1, 2, 7;2,1,3
ISIC_0000342;1;1;1;4;3;3;1,2,3;1, 2;1,2,4,3
ISIC_0000343;1;1;1;5;5;4;1,2,3,5;2;1,2,6,5,3,4
ISIC_0000344;1;1;1;5;4;3;1,2,3;2, 3, 4;2,3,4
ISIC_0000345;1;0;1;2;1;2;0,1,2,3;1;1,2,4
ISIC_0000346;1;1;1;3;3;4;0,1,2,3;1, 2, 3;0,1,2,3
ISIC_0000347;0;0;0;2;4;1;2,3,4;3, 4;4,3
ISIC_0000348;1;1;1;4;3;3;0,2,3;0, 1;0,1,2,3
ISIC_0000349;1;1;1;4;4;3;0,1,2,3;2;1,2,3,4
ISIC_0000350;1;1;1;3;2;4;0,1,2,3;0, 1, 2;1,2,4
ISIC_0000351;1;0;1;3;1;3;0,1,2,3;1, 2;1,2,3,4
ISIC_0000352;1;0;0;2;1;2;1,6,3;1, 2;1,2,3,4
ISIC_0000353;1;1;1;4;3;3;0,1,2,3;1, 2;1,2,3,4
ISIC_0000354;1;0;0;4;5;2;1,2,3;1, 2;1,2,4
ISIC_0000355;0;0;0;3;1;3;2,5;2, 5, 4;2,6,3
ISIC_0000357;1;1;1;3;3;4;1,2,3;1, 2, 3;1,2,3,4
ISIC_0000358;0;0;0;2;1;3;1,5;1, 5, 4;2,6,5,3
ISIC_0000359;1;1;1;4;3;2;1,2,3;1, 2, 7;1,2,3,4
ISIC_0000360;0;0;1;1;1;4;1,3;2, 3, 4;1,2,4
ISIC_0000361;1;1;1;3;2;4;1,2,3;0, 1, 2, 4;1,2,6,4
ISIC_0000363;1;1;1;2;2;3;0,1,2,3;0, 1, 2;1,2,3,4
ISIC_0000364;1;1;1;4;4;2;1,2,3;1, 2;1,2,3,4
ISIC_0000365;0;0;1;2;2;4;1,2,3;2, 5;1,2,8,5,3,4
ISIC_0000366;1;1;1;4;5;5;0,1,2,3;1, 2;1,2,3,4
ISIC_0000367;1;0;1;4;1;4;1,2,3;1, 2, 7;1,2,8,3,4
ISIC_0000368;0;1;1;3;3;3;1,2,3,4;0, 1, 4;0,1,2,4
ISIC_0000369;1;1;1;5;5;5;1,2,3;1, 2;1,2,8,4
ISIC_0000370;1;0;1;4;1;4;0,1,2,3;1, 2, 7, 4;0,1,2,8,7,4
ISIC_0000371;1;1;1;3;2;4;0,1,2,3;0, 1, 2, 8;1,2,6,5,8,7,4
ISIC_0000372;1;1;1;3;1;3;1,2,3;2, 6, 5, 4;1,2,3,4
ISIC_0000374;1;1;1;5;5;4;1,3;2;2,4
ISIC_0000376;1;1;1;4;3;4;0,1,2,3,4;2, 4;2,3,4
ISIC_0000377;1;1;1;5;5;3;0,1,2,6,3;1, 2;1,2,6,4
ISIC_0000378;1;1;1;5;5;4;1,2,3;1, 2, 4;2,3,4,5
ISIC_0000379;1;1;1;4;3;3;0,2,6;1, 2, 6, 4;1,2,6,3,4
ISIC_0000380;1;1;1;4;3;3;0,1,2,6,3;0, 1, 2;1,2,6,4
ISIC_0000381;1;1;1;5;4;4;0,1,2,6,5,3;1, 2, 5, 4;1,2,5,4
ISIC_0000382;1;1;1;4;4;4;1,2,5;2, 5, 4;2,6,5,7,4
ISIC_0000383;1;0;1;5;5;3;1,2;2, 4;2,6,3,4
ISIC_0000384;0;1;0;4;4;2;0,1,2;0, 1, 2;1,2,6,4
ISIC_0000385;0;1;0;4;5;2;1,2,7,3;1, 2, 4;1,2,6,3,4
