ID;Asymmetry_4_1;Border_4_1;Color_4_2;Dermo_4_2;Asymmetry_4_3;Border_4_3;Color_4_4;Dermo_4_4;Asymmetry_4_5;Border_4_5;Color_4_6;Dermo_4_6
ISIC_0000281;2;1;6;4;1;5;6;3;1;5;6;3
ISIC_0000282;1;8;4;3;2;1;3;2;2;2;4;4
ISIC_0000283;2;2;4;4;2;6;4;3;2;7;6;3
ISIC_0000285;2;5;3;2;2;2;3;2;2;2;4;3
ISIC_0000288;1;8;3;2;0;2;4;2;0;2;5;3
ISIC_0000289;2;6;3;2;2;3;2;2;2;6;5;4
ISIC_0000290;1;0;5;3;1;7;5;2;1;7;6;3
ISIC_0000292;1;8;3;2;1;1;2;1;0;1;5;3
ISIC_0000293;2;1;3;3;2;4;3;3;2;3;5;4
ISIC_0000294;1;8;3;2;1;1;2;3;2;0;4;3
ISIC_0000295;0;2;5;3;1;3;3;2;0;2;5;4
ISIC_0000297;0;1;2;3;0;6;2;1;0;0;4;4
ISIC_0000298;0;0;2;3;0;6;1;1;0;3;3;4
ISIC_0000299;2;4;5;2;2;5;3;2;2;0;6;3
ISIC_0000300;2;1;2;2;1;2;2;3;2;0;4;5
ISIC_0000301;1;0;4;3;1;5;2;2;2;4;6;4
ISIC_0000302;2;2;5;2;2;6;3;3;2;7;5;5
ISIC_0000303;2;6;4;2;2;3;2;4;2;8;5;4
ISIC_0000386;0;0;2;1;0;2;2;3;0;2;3;3
ISIC_0000387;1;7;3;2;1;1;2;2;1;2;3;2
ISIC_0000388;0;6;1;1;0;0;1;2;0;0;1;2
ISIC_0000391;1;6;3;1;0;0;2;2;0;0;4;2
ISIC_0000392;2;6;2;2;1;1;2;2;2;6;3;3
ISIC_0000396;2;3;2;2;1;3;2;3;1;4;4;3
ISIC_0000397;1;2;2;1;2;2;2;2;2;2;3;2
ISIC_0000403;1;7;1;1;1;2;2;2;1;4;2;2
ISIC_0000407;1;7;2;2;1;3;2;2;2;5;4;3
ISIC_0000408;1;1;2;3;1;5;3;3;1;1;4;3
ISIC_0000409;1;6;2;1;1;2;2;3;0;2;3;3
ISIC_0000416;2;3;2;1;2;6;2;2;2;6;4;3
ISIC_0000418;1;6;2;2;1;3;2;2;2;8;4;5
ISIC_0000419;1;1;2;1;1;6;2;2;2;2;3;3
ISIC_0000421;1;6;2;1;0;5;2;1;0;3;3;3
ISIC_0000423;0;0;2;2;0;8;2;2;0;0;5;4
ISIC_0000425;1;7;2;3;1;0;2;3;2;0;2;2
ISIC_0000426;2;5;4;2;2;7;4;3;2;7;5;4
ISIC_0000427;0;0;2;1;2;3;2;2;2;1;5;3
ISIC_0000431;1;0;2;1;1;6;2;2;1;0;3;4
ISIC_0000433;1;7;2;1;1;2;3;3;1;0;4;3
ISIC_0000436;1;8;3;2;1;1;2;2;2;5;2;3
ISIC_0000439;1;0;1;1;1;1;1;1;1;0;4;3
ISIC_0000442;0;2;2;2;1;1;2;1;1;2;3;4
ISIC_0000443;0;7;1;1;0;1;1;2;0;2;2;3
ISIC_0000447;0;8;1;2;1;0;1;1;0;0;1;3
ISIC_0000448;1;3;1;2;1;2;2;3;1;1;4;2
ISIC_0000449;1;0;2;1;0;6;2;2;0;0;4;3
ISIC_0000451;0;2;3;2;0;3;2;2;0;0;4;3
ISIC_0000453;1;1;3;2;1;3;3;3;1;0;2;3
ISIC_0000455;0;5;2;2;1;2;3;2;1;3;3;3
ISIC_0000456;0;6;2;1;0;1;1;2;0;0;3;3
ISIC_0000457;0;4;2;2;0;1;1;3;0;2;4;4
ISIC_0000458;1;6;2;1;1;2;2;3;2;3;3;3
ISIC_0000460;0;0;1;1;1;4;2;4;1;0;4;5
ISIC_0000461;1;3;2;1;1;4;2;2;1;3;3;3
ISIC_0000465;0;0;2;2;1;7;2;4;1;0;6;5
ISIC_0000467;1;8;3;1;2;2;2;2;2;3;4;4
ISIC_0000468;1;8;2;2;0;2;2;1;2;2;4;3
ISIC_0000470;0;0;1;2;1;2;1;1;0;0;4;4
ISIC_0000471;0;0;2;1;0;3;2;2;0;0;5;4
ISIC_0000473;1;0;1;2;1;4;2;2;1;3;3;4
ISIC_0000474;1;5;2;2;1;2;2;3;1;1;5;2
ISIC_0000475;1;1;2;1;1;4;2;3;2;5;6;3
ISIC_0000476;2;3;2;1;2;4;3;4;2;3;4;4
ISIC_0000478;0;8;1;2;0;0;1;2;0;1;2;2
ISIC_0000479;1;6;1;1;1;1;2;1;2;3;3;3
ISIC_0000480;1;7;2;2;1;2;2;3;1;3;4;3
ISIC_0000481;2;7;3;2;2;4;4;5;2;4;6;4
ISIC_0000483;1;0;2;2;1;2;2;4;1;0;4;3
ISIC_0000485;0;0;1;1;2;4;2;3;1;2;4;3
ISIC_0000486;1;2;2;2;0;2;2;3;0;0;3;3
ISIC_0000488;0;0;1;1;1;0;1;1;1;0;4;3
ISIC_0000489;1;5;1;2;1;1;2;1;1;0;4;3
ISIC_0000490;0;0;2;2;0;3;3;3;0;0;5;3
ISIC_0000491;0;1;3;1;1;4;3;2;1;2;4;4
ISIC_0000492;2;8;2;1;0;0;2;1;0;2;2;2
ISIC_0000493;0;0;1;2;1;5;2;2;1;2;5;4
ISIC_0000494;1;3;2;2;1;2;3;4;1;5;4;3
ISIC_0000495;0;0;2;2;0;6;3;2;0;0;5;3
ISIC_0000496;1;4;2;3;1;5;3;2;1;4;6;5
ISIC_0000498;0;2;3;1;1;6;3;3;1;3;6;3
ISIC_0000499;0;6;3;1;1;4;3;3;1;2;4;3
ISIC_0000500;1;7;1;2;1;2;2;2;1;0;4;4
ISIC_0000501;1;2;2;2;0;5;3;3;0;1;6;3
ISIC_0000503;1;4;3;2;1;4;2;3;1;3;5;3
ISIC_0000504;0;0;2;2;0;4;2;3;0;2;5;2
ISIC_0000505;2;5;3;2;2;2;3;4;2;4;5;5
ISIC_0000506;0;0;1;1;0;0;3;1;0;0;4;3
ISIC_0000507;1;7;2;1;1;1;2;3;1;0;5;3
ISIC_0000508;0;6;1;1;1;2;2;2;0;0;3;4
ISIC_0000509;1;4;2;1;1;3;2;2;1;2;4;3
ISIC_0000510;0;8;2;2;1;3;2;3;1;2;4;3
ISIC_0000514;1;4;2;2;1;2;2;2;2;0;4;3
ISIC_0000515;0;4;2;1;0;2;2;2;1;0;5;3
ISIC_0000523;1;0;3;2;0;1;2;2;0;2;4;3
ISIC_0000524;0;8;2;1;1;3;4;3;1;2;6;4
ISIC_0000525;0;1;1;2;1;4;2;4;1;1;4;3
ISIC_0000527;1;0;2;2;1;5;2;2;1;2;4;4
ISIC_0000528;1;7;1;2;1;0;1;2;1;0;3;2
ISIC_0000529;0;8;2;1;1;4;2;4;1;5;4;4
ISIC_0000530;1;2;2;1;1;3;2;2;0;0;3;3
