ID;Asymmetry_5_1;Border_5_1;Color_5_1;Dermo_5_1;Blood_5_1;Asymmetry_5_2;Border_5_2;Color_5_2;Dermo_5_2;Blood_5_2;Asymmetry_5_3;Border_5_3;Color_5_3;Dermo_5_3;Blood_5_3;Asymmetry_5_4;Border_5_4;Color_5_4;Dermo_5_4;Blood_5_4;Asymmetry_5_5;Border_5_5;Color_5_5;Dermo_5_5;Blood_5_5;Asymmetry_5_6;Border_5_6;Color_5_6;Dermo_5_6;Blood_5_6
ISIC_0000306;0;2;2;2;0;0;1;3;1;0;1;;2;1;0;;;;;;;;;;;;;;;
ISIC_0000307;2;2;2;3;0;1;2;4;1;0;2;;2;1;0;;;;;;;;;;;;;;;
ISIC_0000310;1;1;6;3;0;0;0;7;3;0;1;;1;3;0;;;;;;;;;;;;;;;
ISIC_0000311;1;1;10;3;1;1;1;5;2;1;2;;10;3;1;;;;;;;;;;;;;;;
ISIC_0000313;0;0;10;1;0;0;0;5;2;0;1;;5;2;0;;;;;;;;;;;;;;;
ISIC_0000314;0;0;7;3;0;0;1;2;3;0;0;;2;3;0;;;;;;;;;;;;;;;
ISIC_0000390;2;3;1;3;0;2;3;1;4;0;2;;1;4;0;;;;;;;;;;;;;;;
ISIC_0000393;2;5;11;2;1;2;1;11;3;1;2;;11;3;1;;;;;;;;;;;;;;;
ISIC_0000395;1;1;8;2;1;2;0;4;4;1;2;;9;3;1;;;;;;;;;;;;;;;
ISIC_0000410;2;2;10;2;1;1;8;5;3;0;1;;10;3;0;;;;;;;;;;;;;;;
ISIC_0000412;2;5;10;2;1;2;8;10;3;1;2;;10;3;1;;;;;;;;;;;;;;;
ISIC_0000413;2;4;10;2;1;2;8;9;1;0;2;;10;2;0;;;;;;;;;;;;;;;
ISIC_0000415;2;5;9;3;0;2;8;9;3;0;2;;9;3;0;;;;;;;;;;;;;;;
ISIC_0000420;2;3;8;2;0;2;5;10;2;0;2;;9;3;0;;;;;;;;;;;;;;;
ISIC_0000434;2;2;5;2;1;1;2;5;2;0;2;;5;2;0;;;;;;;;;;;;;;;
