ID;Asymmetry_7_1;Color_7_1;Border_7_1;Dermo_7_1;Blue_7_1;Asymmetry_7_2;Color_7_2;Border_7_2;Dermo_7_2;Blue_7_2;Asymmetry_7_3;Color_7_3;Border_7_3;Dermo_7_3;Blue_7_3;Asymmetry_7_4;Color_7_4;Border_7_4;Dermo_7_4;Blue_7_4;Asymmetry_7_5;Color_7_5;Border_7_5;Dermo_7_5;Blue_7_5;Asymmetry_7_6;Color_7_6;Border_7_6;Dermo_7_6;Blue_7_6
ISIC_0000549;2;4;1;1;0;2;5;1;2;1;2;4;1;1;0;2;3;0;2;1;2;5;1;2;1;2;5;1;2;1
ISIC_0000550;1;3;1;1;0;2;4;1;1;0;1;4;1;1;0;1;4;1;1;0;1;5;1;1;0;1;4;1;1;0
ISIC_0000551;2;2;1;2;0;2;3;1;2;0;2;3;1;2;0;2;2;1;2;1;1;4;1;1;0;2;2;1;2;0
ISIC_0000552;1;4;1;1;1;2;4;1;1;1;1;4;1;1;1;1;4;1;1;0;2;4;1;1;0;1;3;1;1;0
ISIC_0000554;2;3;1;1;1;2;5;1;2;1;2;3;1;2;1;2;3;1;2;1;2;5;1;2;0;2;3;1;1;1
ISIC_0000555;2;3;1;1;0;2;3;1;1;0;2;2;1;0;0;1;3;1;1;0;2;4;1;1;0;2;2;1;1;0
ISIC_0001100;2;5;1;2;1;2;5;1;1;2;2;3;0;1;1;2;4;1;1;1;2;6;1;1;1;2;3;1;2;1
ISIC_0001102;2;5;1;2;1;2;5;1;1;2;1;5;0;2;1;1;4;1;2;1;1;5;1;2;0;1;4;1;2;1
ISIC_0001103;1;5;1;1;1;2;5;1;1;2;2;4;1;0;1;2;3;1;2;1;2;5;1;1;1;2;3;1;2;1
ISIC_0001105;0;2;1;1;0;1;4;1;1;0;0;2;1;1;0;0;2;1;2;0;0;3;1;2;0;1;2;0;2;0
ISIC_0001118;2;5;1;1;1;2;6;1;2;2;2;5;1;1;1;2;4;1;1;1;2;5;1;1;1;2;5;1;2;1
ISIC_0001119;2;3;1;0;0;2;3;1;2;0;1;2;0;1;0;2;2;1;2;0;0;3;1;2;0;1;2;0;1;0
ISIC_0001126;2;2;1;1;0;2;4;1;2;0;2;3;1;1;0;2;3;1;2;0;2;4;1;2;0;2;3;1;2;0
ISIC_0001128;1;3;1;1;0;0;4;0;1;0;0;4;1;0;0;0;4;1;2;0;0;5;1;2;0;1;3;1;2;1
ISIC_0001131;1;5;1;1;0;2;6;1;2;2;2;4;1;1;1;2;4;1;1;1;1;6;1;1;1;2;4;1;2;1
ISIC_0001133;1;5;1;1;1;2;5;1;2;1;1;3;1;1;1;2;3;1;1;1;2;5;1;1;0;1;3;1;2;1
ISIC_0001134;2;3;1;0;0;2;3;1;1;0;1;3;1;0;0;2;3;1;2;0;1;3;1;1;0;2;3;1;2;0
ISIC_0001140;2;2;1;1;1;2;4;1;1;2;1;3;1;0;1;1;3;0;1;1;1;4;1;1;1;1;2;0;1;1
ISIC_0009923;1;2;1;1;0;2;4;1;1;0;1;2;1;1;0;1;2;1;2;0;2;4;1;2;0;1;3;1;2;0
ISIC_0009925;2;2;1;0;0;2;3;1;1;0;2;3;1;1;0;2;3;1;1;0;2;3;1;1;0;2;1;1;1;0
ISIC_0009929;1;2;1;0;0;0;3;0;1;0;0;2;1;0;0;1;3;1;1;0;0;3;1;1;0;1;1;0;1;0
ISIC_0009930;1;2;1;0;0;1;2;0;1;0;0;2;1;0;0;1;3;1;1;0;0;3;1;1;0;1;1;0;1;0
ISIC_0009931;1;3;1;2;0;1;4;1;2;1;1;2;1;1;0;1;3;0;2;0;1;4;0;1;1;1;2;0;1;0
ISIC_0009932;2;3;1;1;1;1;4;1;2;1;1;2;1;1;0;2;3;1;1;0;2;3;1;1;0;2;2;0;1;0
ISIC_0009933;1;2;1;1;0;1;3;0;1;1;1;2;0;1;0;1;2;0;1;0;0;3;0;1;0;1;1;0;2;0
ISIC_0009935;1;3;1;0;1;0;3;0;1;1;0;2;1;0;1;1;2;1;1;0;0;4;1;1;0;1;2;1;1;0
ISIC_0009936;1;2;0;1;0;0;2;0;1;0;1;2;1;1;0;1;3;1;1;0;1;3;0;1;0;1;1;0;1;0
ISIC_0009937;1;1;1;1;0;1;2;1;1;0;1;2;0;0;0;1;2;1;1;0;0;2;1;0;0;1;2;1;1;0
ISIC_0009938;2;2;1;1;0;1;2;1;1;0;1;1;1;0;0;2;2;1;2;0;0;2;1;2;0;1;1;1;1;0
ISIC_0009939;2;2;1;2;0;1;3;0;1;0;1;2;1;1;0;2;3;1;2;0;2;3;0;2;0;1;2;0;1;0
