ID;Asymmetry_8_1;Asymmetry_8_2;Asymmetry_8_3;Border1_8_1;Border1_8_2;Border1_8_3;Border2_8_1;Border2_8_2;Border2_8_3;Color_8_1;Color_8_2;Color_8_3;Dermo_8_1;Dermo_8_2;Dermo_8_3;Asymmetry_8_4;Asymmetry_8_5;Asymmetry_8_6;Border1_8_4;Border1_8_5;Border1_8_6;Border2_8_4;Border2_8_5;Border2_8_6;Color_8_4;Color_8_5;Color_8_6;Dermo_8_4;Dermo_8_5;Dermo_8_6
ISIC_0001142;2;2;2;4;4;5;3;3;3;4;4;3;2;1;2;;;;;;;;;;;;;;;
ISIC_0001148;1;1;1;5;5;5;4;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;
ISIC_0001152;2;2;2;2;4;2;3;3;3;5;5;5;4;4;3;;;;;;;;;;;;;;;
ISIC_0009882;1;1;1;4;4;3;3;4;4;4;4;4;3;2;3;;;;;;;;;;;;;;;
ISIC_0009897;1;2;1;2;2;2;3;4;4;3;2;3;2;0;3;;;;;;;;;;;;;;;
ISIC_0009898;2;2;2;2;1;1;3;4;1;3;3;3;3;3;2;;;;;;;;;;;;;;;
ISIC_0009905;1;1;1;2;3;2;4;4;5;5;4;5;3;3;3;;;;;;;;;;;;;;;
ISIC_0009910;1;1;1;3;4;3;3;2;2;3;3;3;4;4;4;;;;;;;;;;;;;;;
ISIC_0009918;1;1;1;1;2;1;2;2;2;3;4;4;3;2;2;;;;;;;;;;;;;;;
ISIC_0009950;1;0;1;2;2;1;2;2;2;3;2;3;4;2;2;;;;;;;;;;;;;;;
ISIC_0009955;2;1;2;4;3;3;3;2;2;3;2;2;3;2;2;;;;;;;;;;;;;;;
ISIC_0009960;1;1;1;3;2;3;3;3;3;5;2;4;4;3;3;;;;;;;;;;;;;;;
ISIC_0009971;1;1;1;3;2;2;4;4;4;3;2;3;3;3;3;;;;;;;;;;;;;;;
ISIC_0009993;2;2;2;2;2;2;3;4;4;3;2;2;3;2;2;;;;;;;;;;;;;;;
ISIC_0010000;1;1;1;4;4;4;3;3;3;4;4;4;2;2;2;;;;;;;;;;;;;;;
ISIC_0010011;0;0;0;2;1;1;1;1;1;2;3;3;1;1;1;;;;;;;;;;;;;;;
ISIC_0010016;1;2;1;3;3;2;3;2;1;4;3;3;4;1;3;;;;;;;;;;;;;;;
ISIC_0010070;1;1;1;2;3;2;2;2;1;4;4;4;5;4;4;;;;;;;;;;;;;;;
ISIC_0010074;2;1;2;3;2;3;2;2;2;3;2;3;3;2;3;;;;;;;;;;;;;;;
