ID;Symmetrie_1_1;Kleur_1_1;Rand_1_1;Symmetrie_1_2;Kleur_1_2;Rand_1_2;Symmetrie_1_3;Kleur_1_3;Rand_1_3;Symmetrie_1_4;Kleur_1_4;Rand_1_4;Symmetrie_1_5;Kleur_1_5;Rand_1_5;Symmetrie_1_6;Kleur_1_6;Rand_1_6;Symmetrie_1_7;Kleur_1_7;Rand_1_7
ISIC_0011135;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1
ISIC_0011136;2;1;1;1;2;2;2;2;2;1;1;2;1;1;2;2;2;2;1;2;2
ISIC_0011137;2;1;2;1;1;2;1;1;2;1;2;1;1;1;1;1;2;1;1;2;2
ISIC_0011140;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2
ISIC_0011158;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
ISIC_0011161;1;2;1;2;2;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0011163;2;1;1;2;1;2;2;1;1;1;2;2;1;2;2;1;2;2;2;1;1
ISIC_0011166;2;2;2;2;2;2;2;2;1;1;2;1;2;2;1;1;2;2;1;2;2
ISIC_0011169;1;2;1;1;2;2;2;2;2;1;2;2;1;2;1;2;2;2;1;2;2
ISIC_0011176;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2
ISIC_0011210;1;2;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;1;1;1
ISIC_0011305;2;1;2;1;1;2;2;1;2;1;2;1;1;2;1;1;2;2;2;2;2
ISIC_0011315;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0011344;2;1;1;1;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2
ISIC_0011348;1;2;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2
ISIC_0011349;2;2;1;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2
ISIC_0011366;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2
ISIC_0011387;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2
ISIC_0012137;2;2;1;1;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1
