ID;Asymmetry_2_1;Color_2_1;ColorFade_2_1;Border_2_1;Asymmetry_2_2;Color_2_2;ColorFade_2_2;Border_2_2;Asymmetry_2_3;Color_2_3;ColorFade_2_3;Border_2_3;Asymmetry_2_4;Color_2_4;ColorFade_2_4;Border_2_4;Asymmetry_2_5;Color_2_5;ColorFade_2_5;Border_2_5;Asymmetry_2_6;Color_2_6;ColorFade_2_6;Border_2_6;Asymmetry_2_7;Color_2_7;ColorFade_2_7;Border_2_7;;;;;;;
ISIC_0012391;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;2;;;;;;;
ISIC_0012435;1;1;1;1;0;2;1;0;0;1;1;1;0;2;1;1;1;1;1;1;1;2;1;1;1;2;0;1;;;;;;;
ISIC_0012450;1;1;0;1;1;1;0;1;1;2;1;1;1;1;0;1;2;1;0;1;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012512;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;;;;;;;
ISIC_0012658;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;;;;;;;
ISIC_0012659;2;2;1;2;2;1;1;2;2;1;1;2;2;2;1;2;2;1;1;2;2;2;1;2;2;2;1;2;;;;;;;
ISIC_0012661;1;2;1;0;0;2;1;1;1;2;1;1;2;2;0;2;1;2;1;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012662;2;2;1;1;1;2;0;1;1;2;1;1;2;2;1;1;1;2;1;1;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012663;2;2;0;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;
ISIC_0012664;1;2;1;2;2;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;;;;;;;
ISIC_0012665;1;2;0;1;1;1;0;1;1;2;0;1;1;2;0;1;1;2;0;1;1;1;1;2;1;1;1;2;;;;;;;
ISIC_0012666;0;2;1;0;0;0;0;0;1;2;1;1;2;2;1;1;1;2;0;1;0;2;1;1;1;2;1;1;;;;;;;
ISIC_0012669;1;1;1;1;0;2;1;0;1;2;1;1;0;2;0;0;1;2;1;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012670;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;1;1;2;1;1;1;2;2;1;0;2;;;;;;;
ISIC_0012671;2;2;1;1;2;2;0;2;2;2;1;2;2;2;1;2;2;2;1;1;2;2;1;2;2;2;1;2;;;;;;;
ISIC_0012672;1;1;1;1;2;2;1;2;2;1;1;2;2;1;1;2;1;1;1;1;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012673;1;1;1;1;2;2;1;2;2;1;1;2;2;1;1;2;1;1;1;1;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012674;2;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;;;;;;;
ISIC_0012675;1;1;0;1;1;2;0;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;1;2;1;2;1;1;;;;;;;
ISIC_0012676;2;2;1;1;0;1;0;0;1;1;1;1;2;1;1;1;1;1;1;1;0;1;1;1;1;2;1;1;;;;;;;
ISIC_0012677;0;2;0;0;0;2;0;0;0;1;1;1;0;2;0;0;0;1;0;1;0;2;1;0;0;2;1;0;;;;;;;
ISIC_0012678;1;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;1;;;;;;;
ISIC_0012679;2;2;0;1;1;1;0;1;1;2;0;1;2;2;1;1;1;1;0;2;1;2;1;1;1;1;1;1;;;;;;;
ISIC_0012680;1;2;0;1;2;1;1;2;2;1;1;2;2;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;;;;;;;
ISIC_0012681;0;2;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;;;;;;;
ISIC_0012682;1;2;1;1;1;2;0;1;1;2;1;1;2;2;1;1;1;2;0;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012683;1;2;1;1;0;2;0;0;1;2;1;1;1;2;1;1;1;2;0;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012685;2;2;0;1;1;1;0;1;2;2;1;1;2;2;1;2;1;1;0;1;2;2;1;2;1;2;1;1;;;;;;;
