ID;Asymmetrie_Group 3_persoon1;Grens_Group 3_persoon1;Kleur_Group 3_persoon1;Asymmetrie_Group 3_persoon2;Grens_Group 3_persoon2;Kleur_Group 3_persoon2;Asymmetrie_Group 3_persoon3;Grens_Group 3_persoon3;Kleur_Group 3_persoon3;Asymmetrie_Group 3_persoon4;Grens_Group 3_persoon4;Kleur_Group 3_persoon4;Asymmetrie_Group 3_persoon5;Grens_Group 3_persoon5;Kleur_Group 3_persoon5;Asymmetrie_Group 3_persoon6;Grens_Group 3_persoon6;Kleur_Group 3_persoon6;Asymmetrie_Group 3_persoon7;Grens_Group 3_persoon7;Kleur_Group 3_persoon7
ISIC_0013497;2;1;1;1;1;2;1;1;1;2;1;2;1;1;0;2;1;1;2;1;1
ISIC_0013499;2;1;2;1;1;1;2;1;3;2;1;2;0;1;0;1;0;2;1;1;2
ISIC_0013500;2;0;1;1;0;1;2;1;2;2;1;3;0;1;1;1;1;1;0;1;2
ISIC_0013525;2;1;2;1;0;2;2;1;3;2;1;2;1;1;2;1;1;2;1;1;2
ISIC_0013530;1;1;1;0;1;1;2;1;2;1;1;2;1;1;2;2;1;1;1;1;1
ISIC_0013567;1;1;1;0;0;1;1;1;1;1;0;2;2;1;1;1;1;0;1;1;1
ISIC_0013572;2;1;1;1;1;1;0;1;2;1;1;1;2;1;1;1;0;1;2;1;1
ISIC_0013573;0;1;2;2;1;2;2;1;3;2;1;4;0;1;4;2;1;2;2;1;3
ISIC_0013578;2;1;2;2;1;2;2;1;2;2;1;2;2;1;1;2;1;2;2;1;1
ISIC_0013579;1;1;1;1;1;1;2;1;1;2;1;2;1;1;2;2;1;2;2;1;1
ISIC_0013581;0;0;2;0;0;2;0;1;2;1;0;2;0;1;1;1;1;1;0;1;1
ISIC_0013594;0;1;3;2;1;3;1;1;3;2;1;3;0;1;3;2;1;4;1;1;2
ISIC_0013606;1;0;0;1;0;0;2;1;1;1;0;2;1;1;1;2;1;0;1;1;1
ISIC_0013610;0;1;4;1;0;3;1;1;2;1;0;4;0;1;4;0;0;2;0;0;3
ISIC_0013618;2;1;1;1;1;2;1;1;2;2;1;2;2;1;1;2;1;2;2;1;1
ISIC_0013626;2;1;2;2;1;3;2;1;4;2;1;3;2;1;2;2;1;3;2;1;2
ISIC_0013634;2;1;2;0;1;3;2;1;4;2;1;2;0;1;2;2;1;2;2;1;2
ISIC_0013639;2;1;2;1;1;2;1;1;4;2;1;2;1;1;2;2;1;2;1;1;2
ISIC_0013652;1;0;3;1;0;3;1;1;4;1;0;2;2;1;3;1;1;3;2;1;2
ISIC_0013671;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;1;2;0;0;1
ISIC_0013672;2;0;1;1;0;3;2;1;3;2;0;2;2;1;2;1;1;1;2;1;2
ISIC_0013674;2;1;2;0;1;2;2;1;3;2;1;2;0;1;2;1;1;2;0;1;1
ISIC_0013740;2;1;1;2;1;1;2;1;4;2;1;2;2;1;2;2;1;1;2;1;2
ISIC_0013762;2;1;2;2;1;2;2;1;2;2;1;3;2;1;1;2;1;1;2;1;2
ISIC_0012962;2;1;2;2;1;2;2;1;4;2;1;3;2;1;2;2;1;3;2;1;2
ISIC_0012966;0;1;2;0;1;2;0;1;2;0;1;2;0;1;1;0;1;1;0;1;2
ISIC_0012969;0;0;1;0;0;1;0;0;1;0;0;2;0;1;1;0;0;1;0;0;1
ISIC_0012970;1;0;2;0;0;2;1;0;3;1;0;2;0;0;1;1;0;1;0;1;3
ISIC_0012976;0;1;2;0;1;2;0;0;1;1;0;1;0;1;1;0;1;1;0;1;1
ISIC_0012981;0;1;2;0;1;2;1;1;3;0;0;2;0;1;2;0;1;2;0;1;2
ISIC_0012982;0;1;2;1;1;2;1;1;3;1;1;2;0;1;2;0;1;2;1;1;1
ISIC_0012986;2;1;3;1;1;4;2;1;4;1;1;3;2;1;3;2;1;3;2;1;4
ISIC_0012987;1;1;3;1;1;2;2;1;5;2;1;1;1;1;2;2;1;3;1;1;2
ISIC_0012998;0;0;2;0;1;3;1;1;5;1;1;2;0;0;1;1;0;2;1;0;2
ISIC_0012999;1;1;2;2;1;2;2;1;4;2;1;1;1;1;2;2;1;2;2;1;1
ISIC_0013000;1;0;2;1;0;1;2;1;2;1;1;1;1;1;2;2;1;2;1;1;1
ISIC_0013001;0;1;1;0;1;1;2;1;3;0;1;1;0;1;1;1;1;1;1;1;1
ISIC_0013007;1;1;2;0;1;2;1;1;4;1;1;2;0;1;2;1;1;2;0;0;2
ISIC_0013012;1;1;2;1;1;2;1;1;4;1;0;1;1;1;1;2;1;3;1;1;2
ISIC_0013014;0;0;2;0;1;2;0;0;3;0;0;1;0;0;1;1;0;1;0;1;2
ISIC_0013015;0;1;3;0;1;3;0;1;4;0;1;3;0;1;2;1;1;3;0;1;2
ISIC_0013023;1;1;1;1;1;2;0;1;3;1;0;2;1;1;2;0;1;1;1;1;2
ISIC_0013024;1;1;3;1;0;4;0;0;3;1;0;4;2;1;5;2;0;3;1;1;4
ISIC_0013025;1;0;2;1;0;2;2;1;4;1;1;2;1;1;2;2;1;2;1;1;1
