ID;Asymmetrie_4_1;Asymmetrie_4_2;Asymmetrie_4_3;Rand_4_1;Rand_4_2;Rand_4_3;Kleurver_4_1;Kleurver_4_2;Kleurver_4_3;Kleurzelf_4_1;Kleurzelf_4_2;Kleurzelf_4_3
ISIC_0013775;1;1;1;1;2;2;2;2;1;1;1;1
ISIC_0013777;1;2;1;1;2;3;2;2;2;1;2;1
ISIC_0013783;2;3;2;3;3;3;3;3;3;1;1;1
ISIC_0013815;1;2;1;2;2;2;1;1;1;1;1;1
ISIC_0013831;1;1;1;1;1;1;2;1;1;2;1;1
ISIC_0013832;2;3;2;3;2;3;3;2;2;2;2;1
ISIC_0013839;1;2;1;2;2;2;3;2;2;1;1;1
ISIC_0013840;1;3;1;1;2;1;3;3;3;2;2;2
ISIC_0013844;3;2;2;2;2;2;2;3;2;1;1;1
ISIC_0013845;2;3;2;2;3;3;2;2;1;2;2;1
ISIC_0013861;3;3;2;3;3;3;3;3;3;1;1;1
ISIC_0013865;2;2;1;1;1;1;1;1;2;1;1;1
ISIC_0013874;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013936;1;2;2;2;2;2;1;1;2;1;1;1
ISIC_0013969;2;2;2;1;2;2;1;1;1;1;1;1
ISIC_0013972;2;3;1;3;3;3;3;2;2;1;1;1
ISIC_0013975;1;3;2;3;3;3;3;3;3;1;1;2
ISIC_0013984;1;2;1;1;1;1;2;2;2;1;1;1
ISIC_0013986;1;2;1;3;3;2;3;2;2;1;1;1
ISIC_0013995;3;2;2;2;2;2;1;1;2;1;1;1
ISIC_0013997;2;2;2;2;2;2;2;2;2;1;1;1
ISIC_0014013;1;1;1;2;2;1;3;3;2;2;2;1
ISIC_0014044;1;1;1;1;1;1;2;1;1;1;1;2
ISIC_0014049;2;2;2;2;2;1;1;1;1;1;1;1
ISIC_0013248;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013249;1;1;2;1;1;1;3;3;3;1;1;1
ISIC_0013257;1;2;1;2;2;2;2;2;2;2;1;1
ISIC_0013268;1;1;2;1;1;1;2;2;2;1;2;3
ISIC_0013274;1;1;2;1;1;1;1;1;1;1;1;1
ISIC_0013275;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013287;1;2;2;1;1;1;2;2;2;1;1;1
ISIC_0013288;2;3;3;2;2;2;3;3;3;3;2;2
ISIC_0013294;2;3;3;3;3;3;2;2;3;1;1;1
ISIC_0013302;1;1;2;1;1;1;2;2;2;1;1;1
ISIC_0013304;1;1;1;1;1;2;1;1;1;2;2;2
ISIC_0013306;1;2;1;3;3;3;1;1;2;2;2;2
ISIC_0013310;1;2;1;1;1;1;2;1;1;1;2;3
ISIC_0013311;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013314;2;1;1;1;1;1;2;2;2;1;1;1
ISIC_0013315;1;2;1;2;2;1;3;3;3;2;2;2
ISIC_0013316;2;1;2;2;1;1;3;3;3;3;2;3
