ID;Asymmetrie_5_Annot1;Rand_5_Annot1;Compactheid_5_Annot1;Kleur_5_Annot1;Erytheem_5_Annot1;Asymmetrie_5_Annot2;Rand_5_Annot2;Compactheid_5_Annot2;Kleur_5_Annot2;Erytheem_5_Annot2;Asymmetrie_5_Annot3;Rand_5_Annot3;Compactheid_5_Annot3;Kleur_5_Annot3;Erytheem_5_Annot3;Asymmetrie_5_Annot4;Rand_5_Annot4;Compactheid_5_Annot4;Kleur_5_Annot4;Erytheem_5_Annot4;Asymmetrie_5_Annot5;Rand_5_Annot5;Compactheid_5_Annot5;Kleur_5_Annot5;Erytheem_5_Annot5
ISIC_0014061;1;2;1;1;0;2;1;2;1;0;2;1;2;1;0;1;1;2;1;0;2;2;1;1;0
ISIC_0014062;2;2;2;1;0;2;2;1;1;1;2;1;1;1;1;2;2;2;1;0;1;2;1;1;0
ISIC_0014072;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;1;1;1;2;2;2;1;1
ISIC_0014076;2;2;1;1;0;2;1;1;1;0;2;2;1;1;0;1;2;1;1;0;1;2;2;1;0
ISIC_0014079;2;2;2;1;0;2;2;1;1;0;1;2;1;1;1;0;2;0;1;0;1;2;1;1;0
ISIC_0014082;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;1;1;0;1;2;1;1;0
ISIC_0014088;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0
ISIC_0014092;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0
ISIC_0014099;2;2;2;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;2;1;1;1
ISIC_0014108;2;2;2;1;0;2;1;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;1;1;0
ISIC_0014127;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1
ISIC_0014132;1;2;2;1;0;1;2;1;1;1;1;2;1;1;1;1;2;2;1;1;2;2;1;1;1
ISIC_0014133;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0
ISIC_0014136;2;1;1;1;0;1;0;1;1;0;1;1;2;1;0;1;1;1;1;0;1;1;1;1;0
ISIC_0014144;1;0;1;1;0;1;0;2;1;0;2;0;1;1;0;2;0;1;1;0;2;0;1;0;0
ISIC_0014151;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0
ISIC_0014156;1;1;0;0;0;1;0;1;0;0;1;2;1;1;0;1;0;1;1;0;0;1;0;0;0
ISIC_0014157;2;2;2;1;0;2;2;2;1;0;2;2;2;0;0;2;2;2;1;0;1;2;1;1;0
ISIC_0014163;2;1;2;1;0;2;1;2;1;0;2;2;2;1;0;2;1;1;1;1;2;0;2;1;0
ISIC_0014171;2;2;2;1;0;1;0;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0
ISIC_0014173;2;2;2;1;1;2;0;2;1;1;2;1;2;1;1;2;0;2;1;1;2;2;2;1;1
ISIC_0014183;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;1;2;2;1;0;2;2;2;1;0
ISIC_0014187;2;2;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;2;2;1;1;0
ISIC_0014189;2;2;2;1;0;2;2;2;1;1;2;2;2;1;1;2;2;2;1;0;2;2;2;1;1
ISIC_0013689;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;2;0;1;0;0;1;0;0;0
ISIC_0013690;0;0;0;1;0;1;1;1;1;0;2;1;2;1;0;0;1;0;1;0;1;1;0;0;0
ISIC_0013691;0;2;0;1;0;0;2;1;1;1;0;1;0;1;1;0;1;0;1;0;1;2;0;1;0
ISIC_0013695;2;2;2;1;0;1;1;2;1;0;2;2;2;1;0;1;2;2;1;0;2;2;1;1;0
ISIC_0013706;2;2;1;1;0;1;2;1;1;1;2;1;2;1;2;2;2;1;1;1;2;2;1;1;1
ISIC_0013707;2;1;2;1;1;2;2;1;1;1;2;2;2;1;1;2;0;2;1;1;2;2;2;1;1
ISIC_0013709;2;2;2;1;0;2;2;2;1;0;2;2;2;1;1;2;2;2;1;1;1;2;1;1;1
ISIC_0013712;2;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0
ISIC_0013713;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;2;1;0;1;2;1;1;0
ISIC_0013719;1;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0
ISIC_0013721;2;2;2;1;0;2;2;1;1;0;2;2;2;1;1;1;2;1;1;1;2;1;2;1;1
ISIC_0013725;1;2;1;1;0;2;2;2;1;1;2;0;1;1;1;0;1;1;1;1;2;2;2;1;1
ISIC_0013731;1;2;1;1;0;1;1;1;1;0;1;2;1;1;0;1;1;1;1;0;1;1;1;1;0
ISIC_0013737;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0
ISIC_0013742;0;2;0;1;0;1;2;1;0;0;0;2;0;1;0;0;1;0;1;0;0;1;0;1;0
ISIC_0013747;2;2;2;1;0;0;2;0;1;0;2;2;2;1;1;1;2;2;1;0;1;1;1;1;1
ISIC_0013748;2;2;2;1;1;2;2;1;1;0;2;2;2;1;1;1;2;2;1;0;1;1;2;1;1
ISIC_0013749;2;2;2;1;0;2;2;1;1;0;1;2;1;1;1;1;2;1;1;0;1;2;1;1;0
ISIC_0013758;2;1;1;1;0;2;2;1;1;0;2;0;1;1;0;2;2;2;0;0;2;2;2;0;0
ISIC_0013765;2;2;2;1;0;2;2;2;1;0;1;2;1;1;1;2;2;2;1;0;1;2;1;1;0
ISIC_0013772;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0
ISIC_0013778;1;0;0;1;0;1;2;2;1;0;2;1;0;1;1;0;1;2;1;0;1;1;1;1;0
ISIC_0013782;0;1;0;1;0;1;2;1;1;0;2;2;0;1;0;0;2;1;1;0;1;1;0;1;0
ISIC_0013789;1;0;1;0;0;1;0;2;0;0;2;1;1;1;0;1;1;2;0;0;1;0;1;0;0
ISIC_0013792;1;1;0;1;0;2;2;2;1;0;2;1;0;1;0;0;2;0;1;0;1;1;0;1;0
ISIC_0013795;0;1;0;0;0;1;1;1;0;0;2;1;1;1;0;1;2;1;1;0;1;1;0;0;0
ISIC_0013796;0;1;0;1;0;2;1;1;1;0;1;1;1;1;0;1;2;2;1;0;0;1;0;0;0
ISIC_0013797;2;2;1;1;1;2;1;2;1;1;2;1;2;1;1;0;2;2;1;1;2;2;2;1;1
ISIC_0013798;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;1;2;1;0;0;0;0;0;0
ISIC_0013799;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0
ISIC_0013800;0;0;0;1;0;0;0;1;1;0;2;0;0;1;0;0;0;2;1;0;1;0;0;0;0
ISIC_0013801;0;1;0;1;0;0;1;1;1;0;2;1;1;1;0;0;0;2;1;0;1;1;1;1;0
ISIC_0013802;1;1;0;0;0;1;2;1;1;0;2;1;1;1;0;0;1;2;1;0;1;0;1;0;0
ISIC_0013803;0;2;0;1;0;0;0;1;1;0;2;0;0;1;0;0;2;1;1;0;0;0;0;1;0
ISIC_0013804;0;1;0;0;0;0;1;0;1;0;1;2;0;1;0;0;1;1;1;0;0;0;0;0;1
