ID;Asymmetry_6_1;Asymmetry_6_2;Asymmetry_6_3;Border_6_1;Border_6_2;Border_6_3;Color_6_1;Color_6_2;Color_6_3;;;;;;;;;;;;;;
ISIC_0014190;2;2;2;4;4;4;1;1;1;;;;;;;;;;;;;;
ISIC_0014222;1;1;1;0;0;2;2.5;4;2.5;;;;;;;;;;;;;;
ISIC_0014229;0;1;1;0;2;2;2.5;2.5;3.5;;;;;;;;;;;;;;
ISIC_0014238;0;0;0;0;2;0;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014249;2;2;2;4;4;2;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014289;0;1;1;2;2;2;2;1;1;;;;;;;;;;;;;;
ISIC_0014290;1;0;0;2;2;2;3.5;3.5;2.5;;;;;;;;;;;;;;
ISIC_0014291;2;1;2;2;0;4;2.5;3.5;2.5;;;;;;;;;;;;;;
ISIC_0014308;1;1;2;2;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014316;1;1;2;4;4;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014324;0;0;2;0;0;2;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014325;2;2;1;2;4;4;3.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014327;0;2;2;0;2;4;3.5;4;4;;;;;;;;;;;;;;
ISIC_0014331;2;2;2;4;2;2;1;1;2.5;;;;;;;;;;;;;;
ISIC_0014337;1;1;2;4;4;2;2;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014347;1;0;1;0;2;2;1;2.5;4;;;;;;;;;;;;;;
ISIC_0014357;1;0;1;2;2;0;1;1;2.5;;;;;;;;;;;;;;
ISIC_0014360;1;1;2;0;2;2;2;2;2;;;;;;;;;;;;;;
ISIC_0014361;1;1;2;0;2;4;3.5;3.5;5;;;;;;;;;;;;;;
ISIC_0014366;1;1;2;2;2;4;2;3.5;2;;;;;;;;;;;;;;
ISIC_0014372;2;2;2;4;2;4;1;1;1;;;;;;;;;;;;;;
ISIC_0014385;2;2;2;4;4;4;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014395;0;0;2;0;2;0;1;1;1;;;;;;;;;;;;;;
ISIC_0014422;1;2;2;2;2;2;2.5;2.5;1;;;;;;;;;;;;;;
ISIC_0014191;2;2;1;2;2;0;4;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014195;1;0;1;0;2;2;2.5;4;2.5;;;;;;;;;;;;;;
ISIC_0014197;0;0;0;0;0;0;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014216;2;1;2;0;2;2;5;6.5;5;;;;;;;;;;;;;;
ISIC_0014225;0;1;1;0;2;0;2;2.5;2;;;;;;;;;;;;;;
ISIC_0014248;0;1;1;2;2;0;1;1;1;;;;;;;;;;;;;;
ISIC_0014253;0;0;2;0;0;0;2;2.5;2;;;;;;;;;;;;;;
ISIC_0014263;1;1;2;2;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014264;0;0;0;0;0;0;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014272;0;0;2;0;0;4;2.5;4;4;;;;;;;;;;;;;;
ISIC_0014273;1;1;2;2;2;4;4;4;4;;;;;;;;;;;;;;
ISIC_0014274;0;0;2;0;2;2;2.5;3;2.5;;;;;;;;;;;;;;
ISIC_0014286;0;1;0;0;0;0;1;1;2.5;;;;;;;;;;;;;;
ISIC_0014299;0;0;1;0;0;2;3.5;3.5;1;;;;;;;;;;;;;;
ISIC_0014311;1;2;2;0;2;2;4;4;4;;;;;;;;;;;;;;
ISIC_0014317;0;0;2;2;2;2;2;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014328;1;1;1;0;0;0;1;1;1.5;;;;;;;;;;;;;;
ISIC_0014341;0;1;2;2;0;0;6.5;7;4;;;;;;;;;;;;;;
