group_num;column_1;column_2;column_3;column_4;column_5;column_6;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28;column_29;column_30;column_31;column_32;column_33;column_34;column_35;column_36;column_37;column_38;column_39;column_40;column_41;column_42;column_43;column_44;column_45;column_46;column_47;column_48;column_49;column_50;column_51;column_52;column_53;column_54;column_55;column_56;column_57;column_58;column_59;column_60;column_61;column_62;column_63;column_64
1;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color;Color;Color;Color_Categorised;Color_Categorised;Color_Categorised;Compactness;Compactness;Compactness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Red;Red;Red;Black;Black;Black;Blue;Blue;Blue;Skin_Color;Skin_Color;Skin_Color;Color;Color;Color;Flaking;Flaking;Flaking;Rough_Surface;Rough_Surface;Rough_Surface;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color_Fade;Color_Fade;Color_Fade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Color_Categorised;Color_Categorised;Color_Categorised;Border;Border;Border;Color;Color;Color;Asymmetry;Asymmetry;Asymmetry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color;Color;Color;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color;Color;Color;Blue;Blue;Blue;White;White;White;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color;Color;Color;Diameter;Diameter;Diameter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness;Asymmetry;Border;Yellow;Brown;Black;Red;Color;Compactness
9;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;Color;Asymmetry;Border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Asymmetry;Asymmetry;Asymmetry;Border;Border;Border;Color;Color;Color;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
