ID;Symmetrie_01_1;Symmetrie_01_2;Symmetrie_01_3;Grens_01_1;Grens_01_2;Grens_01_3;Kleuruniformiteit_01_1;Kleuruniformiteit_01_2;Kleuruniformiteit_01_3;Kleur_01_1;Kleur_01_2;Kleur_01_3;Compactness_01_1;Compactness_01_2;Compactness_01_3
ISIC_0012090;1;2;1;2;2;2;2;1;2;0;0;0;2;2;2
ISIC_0012103;0;0;0;1;2;1;2;2;2;0;0;0;1;0;1
ISIC_0012117;1;2;1;0;1;0;2;2;2;1;1;2;2;2;2
ISIC_0012155;0;0;0;2;2;2;2;0;1;1;0;0;2;2;2
ISIC_0012170;1;2;2;2;2;2;0;1;2;0;0;0;2;2;2
ISIC_0012172;0;1;1;2;2;2;2;2;1;0;0;0;1;2;1
ISIC_0012173;1;1;1;1;2;1;2;1;1;0;0;0;1;1;0
ISIC_0012183;1;0;0;1;2;2;1;2;0;1;0;0;2;2;1
ISIC_0012214;0;1;1;0;2;1;1;0;0;1;1;1;0;0;0
ISIC_0012217;2;2;2;1;1;1;0;2;1;1;1;2;2;2;2
ISIC_0012224;0;0;0;1;2;1;2;2;2;0;0;1;1;1;1
ISIC_0012227;0;0;0;0;1;1;2;1;1;0;0;1;0;1;0
ISIC_0000000;1;0;1;0;1;1;1;1;0;2;2;2;1;2;1
ISIC_0000001;0;1;0;1;1;1;0;1;1;2;2;2;0;1;2
ISIC_0000002;1;1;1;2;2;2;2;2;2;1;1;1;2;2;1
ISIC_0000003;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1
ISIC_0000004;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
ISIC_0000006;1;2;2;1;1;1;0;1;2;1;1;1;1;1;2
ISIC_0000007;0;1;0;1;1;1;1;1;1;1;1;2;0;1;1
ISIC_0000008;0;1;1;1;0;2;2;2;1;1;2;2;1;1;1
ISIC_0000009;2;2;1;1;1;2;2;2;2;1;1;1;1;2;2
ISIC_0000010;2;2;2;1;2;1;2;1;2;1;2;1;1;2;2
ISIC_0000011;1;1;2;2;2;2;1;2;2;1;1;1;1;2;1
ISIC_0000012;0;1;0;0;0;0;2;1;1;2;2;1;1;1;1
ISIC_0000013;0;1;1;0;0;0;1;0;0;2;2;2;0;2;0
ISIC_0000014;1;2;0;1;2;2;1;1;1;1;1;1;1;2;1
ISIC_0000015;1;1;0;2;2;1;1;1;1;1;1;1;0;1;1
ISIC_0000016;1;1;1;0;1;0;1;1;1;2;2;2;0;2;2
ISIC_0000017;2;2;1;1;1;1;2;1;1;2;2;2;1;2;2
ISIC_0000018;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2
ISIC_0000019;0;1;1;1;1;1;2;0;2;2;2;2;1;2;2
ISIC_0000020;2;2;1;1;0;1;2;1;1;1;1;2;1;2;2
ISIC_0000021;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2
ISIC_0000022;1;1;2;1;2;2;1;1;1;1;1;1;2;2;2
ISIC_0000023;1;0;2;1;1;1;2;1;1;1;1;1;1;1;1
ISIC_0000024;2;2;2;2;2;2;2;0;1;0;0;0;2;2;0
ISIC_0000025;1;1;1;2;1;2;2;2;2;0;0;0;1;1;0
ISIC_0000026;2;2;1;2;2;2;2;0;1;0;0;1;1;2;0
ISIC_0000027;0;0;0;1;1;1;2;1;2;1;1;1;1;0;1
ISIC_0000028;0;1;1;0;0;0;1;1;1;2;2;2;1;1;1
ISIC_0000029;0;1;1;0;0;0;1;1;2;2;2;2;0;1;1
ISIC_0000030;2;2;2;1;0;1;2;2;2;2;0;0;2;2;2
ISIC_0000031;2;2;2;1;0;2;2;2;2;2;0;2;2;2;2
ISIC_0000032;1;0;1;1;2;2;1;1;1;1;1;1;2;1;1
ISIC_0000034;0;1;0;0;1;0;1;1;2;2;1;2;1;1;1
ISIC_0000035;1;1;1;1;2;1;1;2;2;1;0;1;2;1;1
ISIC_0000036;2;1;2;0;0;1;2;2;2;2;2;2;1;2;0
ISIC_0000037;1;2;2;1;1;1;2;1;0;2;2;2;1;2;2
ISIC_0000038;1;2;2;1;1;1;2;2;1;1;1;1;1;2;2
ISIC_0000039;0;0;0;0;0;0;1;1;0;2;2;2;0;0;1
ISIC_0000040;2;2;2;2;2;2;2;1;2;1;1;1;0;1;2
ISIC_0000041;1;1;1;0;0;0;0;0;0;2;2;2;0;1;0
ISIC_0000042;2;1;2;2;1;2;2;2;1;2;0;2;2;2;2
ISIC_0000043;1;1;1;1;0;0;2;1;2;2;1;2;1;2;2
ISIC_0000044;0;0;1;0;1;0;2;1;1;2;1;2;1;2;1
ISIC_0000045;0;0;0;1;1;1;2;2;1;2;2;2;1;0;1
ISIC_0000046;1;1;1;1;2;1;2;1;1;1;1;1;1;2;0
ISIC_0000047;1;1;1;1;1;1;1;1;0;2;2;2;1;2;1
ISIC_0000048;1;1;1;1;0;0;0;0;0;2;2;2;0;1;1
ISIC_0000049;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2
ISIC_0000050;2;2;2;2;2;2;2;2;2;0;0;0;2;2;2
ISIC_0000051;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2
ISIC_0000052;0;0;1;0;1;1;2;1;1;1;1;2;1;1;1
ISIC_0000053;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2
