ID;Rood_2_1;Rood_2_2;Rood_2_3;Zwart_2_1;Zwart_2_2;Zwart_2_3;Wit/blauw_1_2;Wit/blauw_2_2;Witblauw_2_3;Huidskleur_2_1;Huidskleur_2_2;Huidskleur_2_3;Onregelmatige pigmentie_2_2;Onregelmatige pigmentie 2;Onregelmatige pigmentie_2_3;schilferende korst_2_1;schilferende korst_2_2;schilferende korst_2_3;Ruw oppervlak_2_1;Ruw oppervlak_2_2;Ruw oppervlak_2_3;assymetrie_2_1;assymetrie_2_2;assymetrie_2_3;irregulariteit_2_1;irregulariteit_2_2;irregulariteit_2_3;vervaagde rand_2_1;vervaagde rand_2_2;vervaagde rand_2_3;
ISIC_0012237;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;
ISIC_0012238;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;
ISIC_0012245;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;
ISIC_0012282;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;
ISIC_0012291;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;
ISIC_0012294;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;
ISIC_0012299;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;
ISIC_0012329;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;
ISIC_0012342;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;
ISIC_0012359;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;
ISIC_0012377;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
ISIC_0012379;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;
ISIC_0000097;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;
ISIC_0000098;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;
ISIC_0000099;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;
ISIC_0000100;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
ISIC_0000101;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;
