ID;Tint_1;Tint_2;Tint_3;Grens_1;Grens_2;Grens_3;Variatie_1;Variatie_2;Variatie_3;Symmetrie_1;Symmetrie_2;Symmetrie_3
ISIC_0012386;4;4;4;0;0;0;3;3;2;0;0;0
ISIC_0012390;6;6;6;1;1;1;1;1;1;2;2;2
ISIC_0012397;8;8;8;1;1;1;3;1;2;1;1;1
ISIC_0012415;1;1;1;1;1;1;3;3;3;0;0;1
ISIC_0012416;3;3;3;0;1;1;2;0;0;2;2;2
ISIC_0012433;6;6;6;1;1;1;3;2;2;2;2;2
ISIC_0012452;4;4;4;1;1;1;2;1;1;1;1;1
ISIC_0012455;1;1;4;1;1;1;3;3;3;1;1;0
ISIC_0012459;4;4;4;1;1;1;3;2;2;2;1;0
ISIC_0012469;6;6;6;0;0;1;2;1;1;0;0;0
ISIC_0012473;3;3;3;1;1;1;3;3;3;2;2;1
ISIC_0012475;3;3;3;1;1;1;2;2;2;2;2;2
ISIC_0000202;1;1;1;1;1;1;3;2;2;0;0;0
ISIC_0000203;1;1;1;1;1;1;2;2;2;0;1;0
ISIC_0000204;0;1;1;0;0;0;2;1;1;0;0;0
ISIC_0000205;1;1;1;1;1;1;2;2;2;0;0;0
ISIC_0000206;0;1;1;1;1;0;2;3;2;2;2;1
ISIC_0000207;1;1;1;0;0;0;2;2;2;0;0;0
ISIC_0000208;1;1;1;1;1;1;2;2;2;0;0;0
ISIC_0000209;1;1;1;0;0;0;3;3;3;0;0;0
ISIC_0000211;0;0;0;0;0;0;2;1;1;0;1;0
ISIC_0000212;1;1;1;1;0;1;2;2;1;0;1;0
ISIC_0000213;4;1;1;1;1;1;2;2;2;1;1;2
ISIC_0000214;0;0;0;0;0;0;2;1;0;2;2;2
ISIC_0000215;4;1;1;1;1;1;2;2;2;1;1;0
ISIC_0000216;1;1;1;0;0;0;2;2;2;0;0;0
ISIC_0000217;4;1;1;0;1;1;2;1;2;1;2;1
ISIC_0000218;1;1;1;0;0;0;1;1;1;0;0;0
ISIC_0000219;3;3;3;1;1;1;3;3;3;2;2;2
ISIC_0000220;1;1;1;1;0;1;2;2;2;1;1;1
ISIC_0000221;1;1;1;1;0;0;2;1;1;1;1;0
ISIC_0000222;1;1;1;1;1;1;2;1;2;1;1;0
ISIC_0000223;1;1;1;1;1;1;2;2;2;1;1;0
ISIC_0000224;1;1;1;0;0;0;3;3;3;1;1;0
ISIC_0000225;0;1;1;0;0;0;3;2;2;0;0;0
ISIC_0000226;1;1;1;1;1;1;1;1;1;0;1;0
ISIC_0000227;0;0;0;0;0;0;0;0;0;0;0;0
ISIC_0000229;1;1;1;1;1;1;3;3;2;2;2;2
ISIC_0000231;1;1;1;1;0;0;1;0;1;0;0;0
ISIC_0000232;2;1;1;1;1;0;1;2;2;0;0;0
ISIC_0000233;2;3;3;1;1;0;2;2;2;0;0;0
ISIC_0000234;4;1;1;1;1;0;1;3;2;0;0;0
ISIC_0000235;7;7;7;1;1;1;2;3;3;0;0;0
ISIC_0000236;1;5;1;0;0;0;3;3;3;0;0;0
ISIC_0000237;1;1;1;1;1;1;3;3;3;1;2;2
ISIC_0000239;0;0;0;0;0;0;1;0;0;0;2;0
ISIC_0000240;1;1;1;1;1;1;2;3;2;1;1;1
ISIC_0000242;1;1;1;1;1;1;3;3;2;2;2;2
ISIC_0000243;1;7;1;1;1;1;3;3;2;0;0;0
ISIC_0000244;1;2;1;1;1;1;3;3;2;1;1;1
ISIC_0000245;6;1;3;1;1;1;3;3;3;0;0;2
ISIC_0000246;6;6;3;1;1;1;3;3;3;0;1;0
ISIC_0000247;4;4;4;0;0;0;2;1;2;0;0;0
ISIC_0000250;1;1;1;0;0;0;2;2;2;1;2;0
ISIC_0000251;0;0;0;1;1;0;3;3;3;0;0;0
ISIC_0000252;1;1;1;0;0;1;2;3;2;2;1;1
ISIC_0000253;1;1;1;1;1;1;2;3;3;2;2;2
ISIC_0000254;1;1;1;1;1;1;1;2;2;0;2;0
ISIC_0000255;4;1;1;1;1;1;2;2;2;0;1;0
ISIC_0000256;0;0;0;0;0;0;2;1;1;1;1;0
ISIC_0000258;1;1;1;1;1;1;3;3;2;1;0;1
ISIC_0000259;4;4;4;0;1;1;1;1;1;1;1;0
ISIC_0000260;1;1;1;0;0;0;1;2;2;1;1;1
ISIC_0000261;1;1;1;0;0;0;1;2;2;0;0;0
ISIC_0000262;1;1;1;0;0;0;3;2;2;2;2;2
ISIC_0000263;1;1;1;1;1;1;2;2;2;1;1;0
ISIC_0000264;4;4;4;0;0;0;2;2;2;1;2;0
ISIC_0000265;7;7;7;1;1;1;3;3;3;2;2;1
ISIC_0000268;4;4;4;0;0;0;2;2;2;0;0;0
ISIC_0000269;1;1;1;0;0;0;2;1;2;0;0;0
ISIC_0000274;8;0;0;1;1;0;3;3;3;0;0;0
ISIC_0000275;1;1;1;0;0;0;2;2;2;1;1;0
ISIC_0000276;0;0;0;1;1;1;3;3;3;1;1;0
ISIC_0000277;1;8;1;1;1;1;2;2;2;0;0;2
ISIC_0000278;4;1;4;1;1;1;1;1;2;1;1;0
ISIC_0000281;8;5;7;0;0;0;3;3;3;1;1;1
ISIC_0000282;4;4;4;1;1;1;3;3;3;2;1;1
ISIC_0000283;0;0;0;0;0;0;3;3;2;2;2;1
ISIC_0000285;4;1;1;1;1;1;3;3;2;2;1;1
ISIC_0000288;4;1;1;1;1;1;2;3;2;2;2;0
ISIC_0000289;1;1;0;1;1;1;3;3;3;1;1;1
ISIC_0000290;8;5;5;0;0;0;3;3;3;2;2;1
ISIC_0000292;4;1;1;1;1;1;2;2;1;0;1;1
ISIC_0000293;1;1;1;1;1;1;3;3;3;2;2;2
ISIC_0000294;4;1;1;1;1;1;3;1;1;2;2;1
ISIC_0000295;0;5;0;1;1;1;2;2;1;2;2;0
ISIC_0000297;0;1;0;1;0;0;1;1;0;0;0;0
ISIC_0000298;0;0;0;0;0;0;1;1;1;0;0;0
ISIC_0000299;0;5;0;1;1;1;2;2;2;2;2;2
ISIC_0000300;1;1;1;1;1;1;2;3;2;2;2;1
ISIC_0000301;0;1;1;0;0;0;0;0;0;2;2;0
ISIC_0000302;0;0;0;1;1;1;3;2;1;2;2;2
ISIC_0000303;0;1;1;1;1;1;3;3;3;2;1;2
ISIC_0000306;0;1;0;0;0;0;1;1;1;0;0;0
ISIC_0000307;1;1;1;1;0;0;3;3;2;2;2;2
ISIC_0000310;0;0;0;1;1;0;2;1;1;0;0;0
ISIC_0000311;4;1;1;1;1;1;3;3;3;1;1;1
ISIC_0000313;4;1;4;1;1;1;1;1;2;0;1;0
ISIC_0000314;0;1;1;1;1;1;1;1;0;0;0;0
ISIC_0000315;1;1;1;1;1;1;3;3;3;1;1;1
