ID;Asymmetrie_004_1;Asymmetrie_004_2;Asymmetrie_004_3;Grens_004_1;Grens_004_2;Grens_004_3;Kleur_004_1;Kleur_004_2;Kleur_004_3
ISIC_0012478;2;1;2;0;0;0;3;3;3
ISIC_0012501;1;0;1;0;0;0;3;2;1
ISIC_0012516;2;2;1;5;1;5;4;3;3
ISIC_0012517;1;2;1;0;0;0;2;1;1
ISIC_0012527;1;1;2;8;8;8;2;2;2
ISIC_0012543;1;0;0;1;0;0;3;4;3
ISIC_0012661;0;0;0;1;1;0;2;2;1
ISIC_0012666;0;0;0;1;0;0;2;2;2
ISIC_0012693;1;0;1;1;0;6;3;1;1
ISIC_0012696;1;1;2;1;0;0;3;2;1
ISIC_0012697;0;1;0;0;0;0;4;4;2
ISIC_0012704;1;0;0;4;0;0;1;1;0
ISIC_0000316;1;1;1;3;1;0;2;3;1
ISIC_0000317;1;0;1;2;0;3;3;3;2
ISIC_0000319;2;2;1;3;3;1;4;3;3
ISIC_0000320;1;2;2;6;1;2;2;3;1
ISIC_0000321;1;1;2;3;1;0;2;2;2
ISIC_0000322;1;0;1;4;6;8;2;3;2
ISIC_0000323;2;1;2;4;4;8;2;1;1
ISIC_0000324;2;1;1;3;1;8;4;3;2
ISIC_0000325;1;2;1;4;4;6;3;2;2
ISIC_0000326;1;2;2;7;8;8;2;2;2
ISIC_0000327;1;0;1;1;2;1;4;3;2
ISIC_0000328;2;1;2;0;3;0;2;1;1
ISIC_0000329;0;1;1;1;2;0;2;2;1
ISIC_0000330;0;0;0;0;3;1;4;3;1
ISIC_0000331;0;0;1;2;2;3;4;3;3
ISIC_0000332;2;1;2;7;8;8;4;3;3
ISIC_0000336;2;1;1;2;3;1;4;3;2
ISIC_0000338;1;1;1;2;8;1;3;3;2
ISIC_0000340;1;0;0;1;4;1;3;3;2
ISIC_0000341;1;2;2;3;3;2;2;3;2
ISIC_0000342;2;2;2;3;4;1;2;2;3
ISIC_0000343;2;2;2;6;8;4;3;2;2
ISIC_0000344;1;1;2;2;6;3;2;3;2
ISIC_0000345;1;0;0;1;0;1;4;2;2
ISIC_0000346;2;2;2;3;4;5;3;3;3
ISIC_0000347;0;0;0;0;8;0;1;1;1
ISIC_0000348;2;1;2;4;5;0;3;2;2
ISIC_0000349;1;1;1;2;8;3;3;2;2
ISIC_0000350;2;2;2;3;3;1;3;3;3
ISIC_0000351;2;1;1;1;1;0;3;2;2
ISIC_0000352;1;1;1;2;1;2;3;2;2
ISIC_0000353;2;1;1;2;7;1;3;3;3
ISIC_0000354;1;1;2;2;8;3;2;3;2
ISIC_0000355;0;0;0;1;0;0;1;2;1
ISIC_0000357;1;1;2;3;3;3;2;2;2
ISIC_0000358;1;1;1;2;0;0;2;2;1
ISIC_0000359;1;1;1;5;5;4;4;3;2
ISIC_0000360;0;1;1;2;2;0;2;2;1
ISIC_0000361;2;1;1;3;3;3;3;3;1
ISIC_0000363;2;1;1;2;2;3;4;3;2
ISIC_0000364;2;2;2;7;8;2;4;3;2
ISIC_0000365;1;1;2;3;1;1;2;3;2
ISIC_0000366;1;1;1;2;2;0;3;3;2
ISIC_0000367;2;2;2;4;6;3;4;4;2
ISIC_0000368;2;0;1;6;4;3;4;4;2
ISIC_0000369;2;1;2;4;3;4;3;2;1
ISIC_0000370;2;2;2;4;2;3;5;4;3
ISIC_0000371;2;2;2;4;3;5;5;5;4
ISIC_0000372;1;2;2;4;2;0;2;2;1
ISIC_0000374;1;1;2;5;7;4;2;2;1
ISIC_0000376;2;1;1;4;2;3;3;3;1
ISIC_0000377;2;1;2;3;3;2;3;3;2
ISIC_0000378;2;2;2;3;4;2;2;2;2
ISIC_0000379;2;1;2;3;3;4;3;4;2
ISIC_0000380;2;1;1;4;5;6;3;3;2
ISIC_0000381;2;1;2;4;5;6;4;3;2
ISIC_0000382;0;0;0;3;5;0;3;1;1
ISIC_0000383;1;2;2;4;6;3;2;2;2
ISIC_0000384;1;1;1;3;7;4;3;3;2
ISIC_0000385;1;0;1;2;8;4;3;2;2
ISIC_0000386;2;2;2;4;6;4;3;2;2
ISIC_0000387;1;1;2;3;4;3;3;2;2
ISIC_0000388;1;1;2;1;0;0;2;2;1
ISIC_0000390;2;2;2;7;8;8;4;4;3
ISIC_0000391;0;1;1;2;2;0;2;2;2
ISIC_0000392;1;1;2;5;6;2;2;2;1
ISIC_0000393;1;2;2;7;6;4;3;3;2
ISIC_0000395;1;1;2;4;3;1;4;3;2
ISIC_0000396;1;2;2;3;3;1;2;2;2
ISIC_0000397;2;2;2;3;4;3;2;2;2
ISIC_0000403;1;2;2;3;4;3;2;2;2
ISIC_0000407;1;1;2;6;5;5;3;3;2
ISIC_0000408;2;0;1;3;5;2;4;2;2
ISIC_0000409;1;1;1;2;2;0;3;2;2
ISIC_0000410;1;2;2;4;8;4;2;2;2
ISIC_0000412;1;2;2;7;8;8;2;3;2
ISIC_0000413;1;2;2;7;8;5;2;2;1
ISIC_0000415;2;2;2;6;8;8;3;3;2
ISIC_0000416;2;2;2;4;8;4;3;2;2
ISIC_0000418;2;1;1;4;2;3;3;3;2
ISIC_0000419;1;1;1;3;8;4;2;2;1
ISIC_0000420;2;1;2;6;8;3;3;2;2
ISIC_0000421;2;1;2;6;8;3;4;3;1
ISIC_0000423;1;0;0;2;6;8;5;3;3
ISIC_0000425;1;0;1;2;1;2;2;2;1
ISIC_0000426;2;1;2;4;5;6;5;5;4
ISIC_0000427;1;1;2;4;8;5;3;3;2
ISIC_0000431;1;0;1;7;7;7;3;3;1
