ID;Symmetrie_05_Annot1;Symmetrie_05_Annot2;Symmetrie_05_Annot3;Grens_05_Annot1;Grens_05_Annot4;Grens_05_Annot5;AantalKleuren_05_Annot6;AantalKleuren_05_Annot7;AantalKleuren_05_Annot8;Blauw_05_Annot6;Blauw_05_Annot7;Blauw_05_Annot8;Wit_05_Annot6;Wit_05_Annot7;Wit_05_Annot8
ISIC_0012719;0;0;0;2;1;2;4;3;4;0;0;0;0;0;0
ISIC_0012772;1;0;1;1;2;3;3;2;3;0;0;0;0;0;0
ISIC_0012773;0;0;0;3;3;4;4;3;4;1;0;0;1;0;0
ISIC_0012785;1;0;0;1;2;3;3;3;2;0;0;0;0;0;0
ISIC_0012790;0;0;1;1;3;4;3;2;2;0;0;0;1;0;1
ISIC_0012792;1;0;0;2;2;3;3;2;2;0;0;0;0;0;0
ISIC_0012800;1;1;1;5;2;5;5;4;5;0;0;0;1;0;1
ISIC_0012810;0;1;0;1;1;4;2;1;2;0;0;0;0;0;0
ISIC_0012811;0;0;0;1;1;2;4;2;4;0;0;0;0;0;0
ISIC_0012813;0;0;0;1;1;5;3;2;1;0;0;0;0;0;0
ISIC_0012828;1;1;1;3;3;5;3;2;3;1;1;0;0;0;1
ISIC_0012833;1;1;0;2;2;3;4;3;2;0;0;0;0;0;0
ISIC_0000433;1;1;1;2;2;5;4;3;3;0;0;0;0;0;0
ISIC_0000434;1;1;1;4;3;5;3;1;2;0;0;0;0;0;0
ISIC_0000436;0;1;1;3;3;5;3;2;2;0;0;0;0;0;0
ISIC_0000439;1;1;1;3;2;4;5;1;2;0;0;0;0;0;0
ISIC_0000442;0;1;1;2;2;4;3;2;2;0;0;0;0;0;0
ISIC_0000443;1;0;1;3;1;5;2;2;2;0;0;0;0;0;0
ISIC_0000444;1;1;1;4;3;5;4;2;2;0;0;0;0;0;0
ISIC_0000445;1;1;1;4;4;4;3;1;2;0;0;0;0;0;0
ISIC_0000447;1;0;0;2;2;3;2;1;1;0;0;0;0;0;0
ISIC_0000448;0;1;0;3;3;3;4;2;2;0;0;0;1;0;0
ISIC_0000449;0;0;0;2;2;4;4;2;2;0;0;0;0;0;0
ISIC_0000451;0;0;0;3;2;4;3;3;2;0;0;0;0;0;0
ISIC_0000453;1;0;0;3;3;2;4;2;2;0;0;0;0;0;0
ISIC_0000455;1;1;0;4;2;5;4;3;3;0;0;0;0;0;0
ISIC_0000456;0;0;0;3;3;4;4;2;2;0;0;0;0;0;0
ISIC_0000457;0;0;0;3;2;4;3;3;2;0;0;0;0;0;0
ISIC_0000458;1;1;1;4;3;5;2;2;2;0;0;0;0;0;0
ISIC_0000460;0;0;0;2;2;3;4;2;2;0;0;0;0;0;0
ISIC_0000461;0;0;0;2;3;4;3;2;2;0;0;0;0;0;0
ISIC_0000463;0;0;1;3;2;4;5;4;3;0;0;0;0;0;0
ISIC_0000465;0;0;0;1;2;2;5;4;3;0;0;0;0;0;0
ISIC_0000466;1;1;1;2;3;4;2;2;2;0;0;0;0;0;0
ISIC_0000467;1;1;1;4;4;4;3;3;2;0;0;0;0;0;0
ISIC_0000468;0;1;1;3;3;4;3;2;2;0;0;0;0;0;0
ISIC_0000469;1;0;1;4;3;3;3;3;2;0;0;0;0;0;0
ISIC_0000470;0;1;1;2;4;3;3;2;1;0;0;0;0;0;0
ISIC_0000471;0;0;0;2;4;3;5;3;4;1;0;0;0;0;0
ISIC_0000473;0;0;1;3;2;4;4;3;3;0;0;0;1;0;0
ISIC_0000474;1;0;1;2;3;4;4;3;2;0;0;0;0;0;0
ISIC_0000475;1;1;1;5;4;5;2;2;3;0;0;0;0;0;0
ISIC_0000476;1;1;0;2;2;2;3;2;2;0;0;0;0;0;0
ISIC_0000478;0;0;0;1;3;1;3;2;2;0;0;0;0;0;0
ISIC_0000479;1;1;0;3;3;3;3;1;1;0;0;0;0;0;0
ISIC_0000480;1;1;1;2;4;5;4;3;3;0;0;0;0;0;0
ISIC_0000481;1;1;1;3;4;4;5;4;4;1;0;1;0;0;0
