ID;Symmetrie_1;Begrenzing_1;Geel_1;Bruin_1;Zwart_1;Rood_1;Egaal_1;Omvang_1;Symmetrie_2;Begrenzing_2;Geel_2;Bruin_2;Zwart_2;Rood_2;Egaal_2;Omvang_2;Symmetrie_3;Begrenzing_3;Geel_3;Bruin_3;Zwart_3;Rood_3;Egaal_3;Omvang_3;Symmetrie_4;Begrenzing_4;Geel_4;Bruin_4;Zwart_4;Rood_4;Egaal_4;Omvang_4;Symmetrie_5;Begrenzing_5;Geel_5;Bruin_5;Zwart_5;Rood_5;Egaal_5;Omvang_5;Symmetrie_6;Begrenzing_6;Geel_6;Bruin_6;Zwart_6;Rood_6;Egaal_6;Omvang_6;Symmetrie_7;Begrenzing_7;Geel_7;Bruin_7;Zwart_7;Rood_7;Egaal_7;Omvang_7;Symmetrie_8;Begrenzing_8;Geel_8;Bruin_8;Zwart_8;Rood_8;Egaal_8;Omvang_8
ISIC_0013065;0;1;1;1;0;0;0;1;0;2;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;2;0;3;0;1;0;0;0;1;0;2;0;1;0;0;0;2;0;1;0;1;0;1;0;1;1;3;0;1;0;0;0;1
ISIC_0013088;0;5;0;1;1;0;0;2;1;5;0;1;1;0;1;1;1;4;0;1;1;0;1;1;1;2;0;1;0;0;0;2;1;4;0;1;1;0;0;1;1;3;0;1;0;0;0;3;1;4;0;1;1;0;0;2;1;5;0;1;0;0;1;2
ISIC_0013089;1;2;0;0;0;1;1;2;1;4;0;0;0;1;0;1;1;3;0;0;0;1;0;1;1;3;1;0;0;1;0;2;1;2;1;0;0;1;0;1;1;1;0;0;0;1;0;2;1;2;0;0;0;1;0;3;1;1;0;0;0;1;0;2
ISIC_0013092;0;1;1;1;0;1;0;4;0;2;0;1;0;1;0;5;0;1;1;1;0;1;0;3;0;1;1;1;0;1;0;5;0;2;1;1;1;1;0;5;0;2;0;1;0;1;0;5;0;2;0;1;0;1;0;2;0;2;1;1;0;1;0;4
ISIC_0013129;1;2;0;1;0;1;0;2;0;2;0;1;0;1;0;3;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;4;1;2;0;1;0;1;0;3;1;1;0;1;0;1;0;4;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;3
ISIC_0013134;1;1;1;0;0;1;1;1;1;2;1;0;0;1;1;1;1;2;1;0;0;1;1;1;1;1;1;0;0;0;1;5;1;5;1;0;0;1;1;1;1;1;0;0;0;1;1;5;1;1;0;0;0;1;1;3;1;1;0;1;0;1;1;2
ISIC_0013146;0;4;0;0;0;1;0;3;0;2;0;0;0;1;0;4;0;1;0;0;0;1;0;3;0;1;0;1;0;1;0;5;0;2;1;0;0;1;0;5;0;1;0;0;0;1;0;5;1;2;0;0;0;1;0;2;0;1;1;1;0;1;0;4
ISIC_0013150;1;3;1;0;0;1;0;2;0;2;1;0;0;0;1;3;1;3;1;0;0;1;0;1;1;2;1;0;0;0;0;3;1;2;1;0;0;1;0;3;1;3;1;0;0;1;0;4;1;2;0;1;0;1;0;3;1;2;1;1;0;1;1;3
ISIC_0013160;1;4;0;0;1;1;0;3;0;2;0;0;0;1;0;3;1;3;0;0;0;1;0;2;1;4;0;1;1;1;0;3;0;3;1;1;1;1;0;4;1;4;0;1;1;1;0;3;0;4;0;0;1;1;0;2;1;4;0;0;1;1;0;4
ISIC_0013165;0;3;1;0;0;1;0;2;1;2;0;0;0;1;0;5;0;2;0;0;0;1;0;2;1;2;0;0;0;1;0;4;0;1;0;0;0;1;0;4;0;1;0;0;0;1;0;4;1;4;0;0;0;1;0;2;1;2;0;0;0;1;1;3
ISIC_0013166;0;1;1;0;1;1;0;3;0;3;1;0;0;1;0;5;0;2;1;1;1;0;0;2;0;2;1;0;1;1;0;4;0;4;1;0;1;1;0;4;0;3;1;1;1;1;0;5;0;1;0;0;1;1;0;2;0;4;0;1;1;1;0;4
ISIC_0013167;0;2;0;1;1;0;1;3;0;2;0;1;1;0;1;4;0;3;0;1;1;0;1;2;1;5;0;1;1;0;0;3;1;5;0;1;1;0;0;4;1;5;0;1;0;0;1;5;1;5;0;1;1;0;0;2;1;5;0;1;1;0;1;4
ISIC_0009906;0;4;0;1;0;1;1;4;0;3;0;1;0;0;1;2;0;3;0;1;0;0;1;3;0;3;0;1;0;0;1;3;1;2;1;1;0;0;1;5;0;3;0;1;0;0;1;4;1;4;0;1;0;0;0;3;1;4;0;1;0;0;1;4
ISIC_0009909;1;4;1;1;0;0;1;3;1;2;0;1;1;0;1;1;1;2;0;1;1;0;0;2;1;2;0;1;0;0;1;2;1;2;1;1;1;0;0;4;1;2;0;1;0;0;1;4;1;4;0;1;0;0;1;2;1;4;1;1;0;0;1;4
ISIC_0009910;0;2;0;1;0;0;1;5;1;1;0;1;1;0;0;3;0;2;0;1;1;0;0;4;0;1;0;1;0;0;0;4;1;1;0;1;1;0;0;5;0;3;0;1;0;0;1;5;1;2;0;1;1;0;0;4;0;3;0;1;0;0;0;5
ISIC_0009911;1;3;0;1;0;0;1;3;0;2;0;1;1;0;1;1;1;2;0;1;1;0;0;2;1;3;0;1;0;0;1;2;1;2;0;1;0;0;0;3;1;4;0;1;0;0;1;3;1;4;0;1;1;0;0;2;1;4;0;1;0;0;0;3
ISIC_0009912;1;2;0;1;0;1;0;2;0;2;0;1;0;0;0;1;0;2;0;1;0;0;0;1;0;2;0;1;0;0;0;2;1;1;1;1;1;0;0;2;0;2;0;1;0;0;0;2;1;2;1;1;0;1;0;1;0;3;0;1;0;0;0;3
ISIC_0009914;0;1;0;1;0;0;0;3;1;2;0;1;0;0;1;4;0;2;0;1;1;0;0;3;1;4;0;1;1;0;0;3;0;3;0;1;1;0;0;4;1;4;0;1;0;0;0;4;1;4;0;1;1;1;0;3;1;4;0;1;0;0;0;4
ISIC_0009915;0;3;1;1;0;1;1;4;1;2;0;1;0;1;0;3;1;2;0;1;0;1;0;4;0;3;0;1;0;1;0;4;1;3;0;1;0;1;0;5;0;2;0;1;0;1;1;5;1;2;0;1;0;1;0;4;1;3;0;1;0;1;1;5
ISIC_0009917;0;4;1;0;0;1;1;2;1;2;0;1;0;1;1;3;0;4;0;1;0;1;0;2;1;4;0;1;0;1;1;1;1;3;0;1;0;1;1;3;1;2;0;1;0;0;1;3;1;4;0;1;0;1;0;2;1;4;0;1;0;1;1;3
ISIC_0009918;0;3;0;0;1;1;1;5;0;2;0;1;1;0;0;4;0;4;0;1;1;0;1;5;1;5;0;0;1;1;0;2;0;4;1;0;1;1;0;5;1;4;0;0;1;0;1;5;0;4;1;0;1;1;0;5;0;4;0;1;1;1;0;5
