ID;Kleur_1;Asymmetrie_1;Compactness_1;Kleur_2;Asymmetrie_2;Compactness_2;Kleur_3;Asymmetrie_3;Compactness_3;Kleur_4;Asymmetrie_4;Compactness_4;Kleur_5;Asymmetrie_5;Compactness_5;Kleur_6;Asymmetrie_6;Compactness_6;Kleur_7;Asymmetrie_7;Compactness_7
ISIC_0010042;1;1;0;1;1;0;1.5;1;0;1;1;0;1;1;0;1;0;0;1;1;0
ISIC_0010043;1;1;1;1.5;2;2;1;1;1;1.5;1;1;1.5;2;2;1;2;1;1;1;1
ISIC_0010044;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0
ISIC_0010046;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
ISIC_0010047;0.5;1;1;0.5;1;0;0.5;1;0;0.5;1;0;0.5;2;1;0.5;0;1;0.5;1;1
ISIC_0010051;1.5;1;1;1.5;2;1;1.5;2;2;1.5;2;2;1;2;2;1;0;0;1.5;1;1
ISIC_0010053;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;1
ISIC_0010054;1.5;1;1;0.5;2;2;1;2;2;1;2;1;1;2;1;1;1;1;1.5;1;1
ISIC_0010055;1.5;2;1;1;2;2;0.5;1;2;1;2;1;1;1;1;1;1;1;1.5;2;1
ISIC_0010057;1;2;1;1;2;2;1;2;2;1.5;2;1;1;2;1;1;1;1;1;2;1
ISIC_0010058;1.5;1;1;1;1;2;2;1;2;1.5;2;1;1.5;1;0;1.5;0;1;1.5;1;1
ISIC_0010059;2;1;1;2;1;1;2;2;2;1.5;2;2;1;2;1;2;1;2;2;1;1
ISIC_0010060;0.5;1;0;0.5;1;0;0;1;1;0.5;1;1;0.5;0;0;0.5;1;1;0.5;1;0
ISIC_0010061;1.5;1;1;2;2;2;1.5;2;2;1.5;2;1;2;1;1;1.5;2;2;1.5;1;1
ISIC_0010062;1;0;0;1.5;2;2;1;1;1;1.5;1;1;1.5;1;0;1.5;0;1;1;0;0
ISIC_0010063;0.5;0;0;1;1;1;1.5;0;1;1.5;0;1;1.5;0;0;1;0;1;0.5;0;0
ISIC_0010064;2;0;0;1.5;0;0;2;0;0;2;0;0;1;0;0;1.5;0;0;2;0;0
ISIC_0010066;1.5;0;0;2;1;2;1.5;0;1;1.5;1;1;2;1;1;2;0;0;1.5;0;0
ISIC_0010067;1.5;1;1;2;1;1;2;2;2;2;2;2;1.5;2;2;2;2;2;1.5;1;1
ISIC_0010069;0.5;0;1;0.5;2;1;0;0;1;1;1;0;0.5;1;0;1;0;0;0.5;0;1
ISIC_0010070;1;1;1;1.5;2;2;1.5;1;1;1.5;1;1;1.5;1;1;1.5;2;1;1;1;1
