ID;Asymmetrie1;Asymmetrie2;Asymmetrie3;Rand1;Rand2;Rand3;Kleur1;Kleur2;Kleur3
ISIC_0013360;0;0;2;1;0;2;2;3;3
ISIC_0013364;1;1;1;1;0;1;2;1;2
ISIC_0013370;2;1;2;2;0;2;2;1;1
ISIC_0013371;1;1;0;2;1;0;3;3;3
ISIC_0013397;0;1;2;2;1;2;4;3;4
ISIC_0013400;1;1;0;2;1;0;3;1;1
ISIC_0013409;1;0;1;1;0;1;3;2;2
ISIC_0013443;1;1;2;2;1;2;2;3;3
ISIC_0013458;1;0;1;1;0;1;2;2;2
ISIC_0013474;2;1;2;2;0;2;3;4;5
ISIC_0013493;2;2;1;2;1;2;3;3;3
ISIC_0013580;1;1;0;1;1;2;2;3;3
ISIC_0010257;2;1;2;2;0;2;2;4;4
ISIC_0010261;2;2;2;2;2;2;2;3;3
ISIC_0010262;1;1;2;2;0;2;2;2;3
ISIC_0010264;1;0;0;1;1;2;3;5;4
ISIC_0010265;1;1;2;2;1;2;2;2;4
ISIC_0010267;2;2;2;2;2;2;3;5;2
ISIC_0010317;1;0;2;2;0;2;2;1;2
ISIC_0010318;1;1;2;2;0;2;2;2;2
ISIC_0010320;2;2;2;2;2;2;2;3;3
ISIC_0010326;2;2;2;2;2;2;3;2;3
ISIC_0010327;1;0;1;1;0;1;3;2;3
ISIC_0010329;2;2;2;2;2;2;4;3;5
ISIC_0010330;1;2;2;2;2;2;2;3;1
ISIC_0010332;1;1;2;2;1;2;3;3;3
ISIC_0010333;2;2;1;2;2;2;2;2;3
ISIC_0010334;1;1;2;2;2;2;2;2;2
ISIC_0010336;2;2;2;2;2;2;2;2;2
ISIC_0010337;2;2;2;2;2;2;2;2;2
ISIC_0010339;1;2;1;2;1;1;3;2;2
ISIC_0010340;1;2;0;1;1;1;2;2;2
ISIC_0010341;1;2;1;1;1;1;2;1;1
ISIC_0010342;2;2;2;2;2;2;3;2;3
ISIC_0010344;1;1;0;2;1;0;2;3;2
ISIC_0010346;1;2;2;2;1;2;3;4;3
ISIC_0010348;0;0;2;1;0;2;2;1;4
ISIC_0010350;0;1;0;1;0;1;3;2;3
ISIC_0010351;1;0;0;1;0;1;3;4;1
ISIC_0010356;1;0;2;2;0;2;2;2;2
ISIC_0010357;1;0;2;2;1;2;3;2;1
ISIC_0010358;1;0;0;1;0;1;3;3;4
ISIC_0010360;1;1;2;2;1;1;2;3;2
ISIC_0010362;1;0;0;1;0;1;3;2;2
ISIC_0010364;1;1;1;1;0;1;2;4;3
ISIC_0010365;1;1;1;2;0;1;2;1;2
ISIC_0010367;1;0;1;2;0;1;2;3;2
ISIC_0010368;1;1;1;1;0;1;2;1;2
ISIC_0010370;0;0;0;0;0;0;3;4;4
ISIC_0010371;2;2;2;2;1;2;2;2;2
ISIC_0010372;1;1;2;2;1;2;3;2;3
ISIC_0010374;1;1;1;1;0;1;2;3;3
ISIC_0010379;2;1;2;2;1;2;3;4;4
ISIC_0010382;2;2;2;2;2;2;4;5;3
ISIC_0010435;2;1;2;2;1;2;3;3;4
ISIC_0010441;0;0;2;1;0;2;4;4;5
ISIC_0010442;0;0;0;1;0;1;3;3;2
ISIC_0010443;0;0;0;1;0;1;2;2;4
ISIC_0010444;2;1;2;2;0;2;2;1;2
ISIC_0010447;1;0;2;1;1;2;2;3;5
ISIC_0010448;1;0;2;1;0;1;2;5;3
ISIC_0010449;1;0;0;1;0;1;2;4;5
ISIC_0010452;1;0;1;1;0;2;3;4;2
ISIC_0010455;1;1;0;2;1;2;3;3;3
ISIC_0010456;1;0;1;2;0;1;2;1;2
ISIC_0010458;1;0;2;1;0;2;3;4;4
ISIC_0010460;1;0;2;1;0;2;4;6;4
ISIC_0010461;1;0;1;1;0;1;3;4;2
ISIC_0010463;1;1;1;1;1;1;3;3;4
ISIC_0010465;2;1;2;2;2;2;2;2;2
ISIC_0010466;1;0;1;2;0;2;2;3;3
ISIC_0010467;2;2;1;2;1;0;4;2;3
ISIC_0010468;2;2;1;2;2;1;3;2;2
ISIC_0010471;0;0;0;1;0;1;2;1;1
ISIC_0010472;1;0;1;2;1;1;3;2;3
ISIC_0010473;2;2;1;2;2;2;4;4;3
ISIC_0010474;1;1;1;1;0;1;2;3;3
ISIC_0010475;1;2;2;2;2;2;4;2;2
ISIC_0010476;2;1;2;2;1;2;2;2;2
ISIC_0010477;2;2;2;2;2;2;3;4;4
ISIC_0010479;1;0;2;1;1;2;4;4;4
ISIC_0010480;1;1;2;1;1;2;3;4;4
ISIC_0010481;1;0;2;1;1;1;4;3;3
ISIC_0010483;2;1;2;2;1;2;2;1;2
ISIC_0010487;1;1;0;2;0;1;2;2;2
ISIC_0010488;1;1;1;1;1;2;2;2;2
ISIC_0010490;1;1;2;2;2;2;3;2;3
ISIC_0010492;2;2;2;2;2;2;3;2;4
ISIC_0010493;1;0;1;1;0;2;2;3;6
ISIC_0010494;2;1;2;2;1;2;3;3;3
ISIC_0010497;2;2;2;2;2;2;2;2;2
ISIC_0010498;0;0;0;2;1;2;3;4;4
ISIC_0010552;1;1;1;2;1;2;2;3;3
ISIC_0010553;1;1;1;1;0;2;1;2;2
ISIC_0010554;2;2;2;2;2;2;2;3;3
ISIC_0010557;2;1;2;2;1;2;2;3;3
ISIC_0010558;1;1;2;2;2;2;2;2;2
ISIC_0010562;1;0;0;1;1;1;2;3;3
ISIC_0010565;2;0;2;2;0;2;2;1;3
ISIC_0010566;1;0;1;1;0;1;2;2;2
